TIME,ECALLS
15716,500
15694,500
15608,500
15564,500
15562,500
15602,500
15624,500
15598,500
15564,500
15602,500
15620,500
15610,500
15580,500
15566,500
15574,500
15598,500
15576,500
15560,500
15544,500
15592,500
15634,500
15626,500
15582,500
15564,500
15598,500
15632,500
15628,500
15540,500
15584,500
15592,500
15576,500
15566,500
15544,500
15562,500
15616,500
15628,500
15588,500
15546,500
15582,500
15628,500
15616,500
15602,500
15568,500
15600,500
15618,500
17462,500
18226,500
18098,500
16682,500
15976,500
15582,500
15574,500
15546,500
15628,500
15646,500
15624,500
15580,500
15612,500
15578,500
15626,500
15592,500
15550,500
15598,500
15602,500
15616,500
15614,500
15564,500
15592,500
15624,500
15642,500
15596,500
15586,500
15614,500
15598,500
15590,500
15620,500
15580,500
15608,500
15612,500
15616,500
15576,500
15588,500
15598,500
15642,500
15608,500
15590,500
15568,500
15622,500
15630,500
15582,500
15592,500
15600,500
20824,500
15598,500
15584,500
15588,500
15566,500
15642,500
15600,500
15570,500
15576,500
15606,500
15616,500
15590,500
15576,500
15564,500
15624,500
15636,500
15604,500
15586,500
15588,500
15594,500
15634,500
15606,500
15550,500
15594,500
15622,500
15618,500
15586,500
15582,500
15594,500
15626,500
15602,500
15596,500
15572,500
15576,500
15624,500
15626,500
15570,500
15570,500
15598,500
15628,500
15602,500
15596,500
15578,500
15588,500
15604,500
15620,500
15580,500
15556,500
15606,500
15630,500
15586,500
15578,500
15582,500
15608,500
15606,500
15618,500
15572,500
15576,500
15602,500
15642,500
15600,500
15542,500
15680,500
15622,500
15604,500
15594,500
15576,500
15600,500
15600,500
15634,500
15598,500
15574,500
15576,500
15640,500
15622,500
15552,500
15580,500
15612,500
15592,500
15618,500
15582,500
15550,500
15586,500
15608,500
15610,500
15568,500
15556,500
15622,500
15634,500
15586,500
15576,500
15584,500
15580,500
15636,500
15612,500
15572,500
15594,500
15620,500
15594,500
15590,500
15558,500
15576,500
15614,500
15664,500
15572,500
15564,500
15596,500
15616,500
15612,500
15570,500
15582,500
15608,500
15606,500
15612,500
15588,500
15554,500
15606,500
15636,500
15616,500
15564,500
15560,500
15614,500
15616,500
15600,500
15612,500
15582,500
15586,500
15628,500
15610,500
15544,500
15590,500
15624,500
15628,500
15584,500
15558,500
15598,500
15602,500
15614,500
15600,500
15572,500
15560,500
15624,500
15622,500
15568,500
15570,500
15596,500
15632,500
15610,500
15602,500
15580,500
15604,500
15608,500
15626,500
15590,500
15552,500
15608,500
15634,500
15590,500
15590,500
15580,500
15642,500
15632,500
15616,500
15536,500
15564,500
15628,500
15616,500
15596,500
15592,500
15560,500
15604,500
15636,500
15582,500
15558,500
15580,500
15630,500
15630,500
15598,500
15542,500
15612,500
15628,500
15608,500
15590,500
15574,500
15576,500
15622,500
15622,500
15604,500
15560,500
15612,500
15636,500
15624,500
15576,500
15578,500
15590,500
15598,500
15592,500
15568,500
15580,500
15608,500
15610,500
15614,500
15586,500
15558,500
15612,500
15632,500
15600,500
15560,500
15598,500
15622,500
15628,500
15578,500
15586,500
15594,500
15608,500
15634,500
15592,500
15554,500
15602,500
15626,500
15636,500
15576,500
15582,500
15604,500
15630,500
15592,500
15596,500
15574,500
15578,500
15626,500
15618,500
15562,500
15570,500
15608,500
15628,500
15596,500
15588,500
15588,500
15594,500
15618,500
15608,500
15576,500
15550,500
15620,500
15624,500
15578,500
15570,500
15588,500
15626,500
15614,500
15610,500
15578,500
15594,500
15598,500
15634,500
15580,500
15556,500
15574,500
15594,500
15624,500
15574,500
15546,500
15612,500
15630,500
15582,500
15592,500
15568,500
15578,500
15626,500
15614,500
15590,500
15564,500
15616,500
15632,500
15596,500
15556,500
15590,500
15612,500
15604,500
15602,500
15576,500
15562,500
15612,500
15628,500
15634,500
15560,500
15602,500
15624,500
15630,500
15576,500
15580,500
15596,500
15602,500
15628,500
15588,500
15548,500
15592,500
15626,500
15628,500
15596,500
15546,500
15604,500
15626,500
15590,500
15596,500
15578,500
15584,500
15634,500
15624,500
15562,500
15572,500
15590,500
15596,500
15614,500
15578,500
15570,500
15618,500
15602,500
15596,500
15580,500
15560,500
15616,500
15622,500
15614,500
15570,500
15576,500
15594,500
15620,500
15594,500
15560,500
15592,500
15620,500
15646,500
15590,500
15562,500
15568,500
15630,500
15628,500
15568,500
15558,500
15580,500
15638,500
15628,500
15564,500
15554,500
15624,500
15600,500
15604,500
15568,500
15600,500
15676,500
15632,500
15584,500
15588,500
15584,500
15590,500
15628,500
15604,500
15544,500
15592,500
15616,500
15632,500
15586,500
15582,500
15600,500
15624,500
15604,500
15598,500
15572,500
15566,500
15612,500
15614,500
15600,500
15580,500
15584,500
15630,500
15616,500
15568,500
15584,500
15598,500
15606,500
15624,500
15584,500
15538,500
15606,500
15632,500
15576,500
15584,500
15588,500
15622,500
15616,500
15606,500
15566,500
15580,500
15602,500
15608,500
15574,500
15570,500
15572,500
15632,500
15638,500
15604,500
15552,500
15578,500
15614,500
15604,500
15604,500
15556,500
