TIME,OCALLS,MAX
2207323482,0,100000000
2183135636,0,100000000
2184572190,0,100000000
2184526324,0,100000000
2185060096,0,100000000
2184806448,0,100000000
2186376388,0,100000000
2185181346,0,100000000
2182472520,0,100000000
2209081290,0,100000000
2180427676,0,100000000
2178350694,0,100000000
2177943648,0,100000000
2173002332,0,100000000
2176588832,0,100000000
2175684824,0,100000000
2178364526,0,100000000
2182521426,0,100000000
2204676868,0,100000000
2182792484,0,100000000
2181823944,0,100000000
2184817678,0,100000000
2215725158,0,100000000
2183765610,0,100000000
2184295502,0,100000000
2183165882,0,100000000
2188912450,0,100000000
2194422172,0,100000000
2180709326,0,100000000
2184014998,0,100000000
2184418450,0,100000000
2218022850,0,100000000
2185053406,0,100000000
2213154622,0,100000000
2183015142,0,100000000
2199262902,0,100000000
2183408482,0,100000000
2182146886,0,100000000
2183713690,0,100000000
2183969078,0,100000000
2206169342,0,100000000
2185425268,0,100000000
2181930846,0,100000000
2184754844,0,100000000
2194872198,0,100000000
2181984492,0,100000000
2183289126,0,100000000
2186359206,0,100000000
2203150486,0,100000000
2204920542,0,100000000
2183860068,0,100000000
2203415656,0,100000000
2183542012,0,100000000
2181741210,0,100000000
2184810008,0,100000000
2182561408,0,100000000
2184190602,0,100000000
2215662658,0,100000000
2183650564,0,100000000
2182640884,0,100000000
2184033996,0,100000000
2188220514,0,100000000
2183663006,0,100000000
2185721418,0,100000000
2218558146,0,100000000
2185391210,0,100000000
2214126510,0,100000000
2182820954,0,100000000
2184968848,0,100000000
2184363884,0,100000000
2184127816,0,100000000
2184936388,0,100000000
2191118820,0,100000000
2211574212,0,100000000
2183464076,0,100000000
2215867028,0,100000000
2181174918,0,100000000
2178121676,0,100000000
2176792390,0,100000000
2177855966,0,100000000
2180853748,0,100000000
2183924480,0,100000000
2184780046,0,100000000
2191580330,0,100000000
2202714360,0,100000000
2181132620,0,100000000
2184775388,0,100000000
2184308976,0,100000000
2183563314,0,100000000
2183626638,0,100000000
2183138444,0,100000000
2182102516,0,100000000
2183520794,0,100000000
2183846620,0,100000000
2182836860,0,100000000
2182636826,0,100000000
2180806714,0,100000000
2184886996,0,100000000
2182094312,0,100000000
2184331622,0,100000000
