TIME,OWRITE,PAYLOAD
5693534,1,262144
5639426,1,262144
5294876,1,262144
5445580,1,262144
5528166,1,262144
5352442,1,262144
5432348,1,262144
5465572,1,262144
5500952,1,262144
5435250,1,262144
5329084,1,262144
5526834,1,262144
5362390,1,262144
5330896,1,262144
5583022,1,262144
5418756,1,262144
5653030,1,262144
6185464,1,262144
5419030,1,262144
5532336,1,262144
5529096,1,262144
5348356,1,262144
5445094,1,262144
5338652,1,262144
5341324,1,262144
5452438,1,262144
5391242,1,262144
5429874,1,262144
5418056,1,262144
5323268,1,262144
5440238,1,262144
5454160,1,262144
5430918,1,262144
5533664,1,262144
5326274,1,262144
5411052,1,262144
5392778,1,262144
6109582,1,262144
5465716,1,262144
5451392,1,262144
5448174,1,262144
5444574,1,262144
5306640,1,262144
5473968,1,262144
5415540,1,262144
5307750,1,262144
5559472,1,262144
5323778,1,262144
5359944,1,262144
5444516,1,262144
5319958,1,262144
5325366,1,262144
5302334,1,262144
5508742,1,262144
5508784,1,262144
5406472,1,262144
5545062,1,262144
6182578,1,262144
5589192,1,262144
5579104,1,262144
5383038,1,262144
5355652,1,262144
5428910,1,262144
5316160,1,262144
5344116,1,262144
5425254,1,262144
5341798,1,262144
5563258,1,262144
5351928,1,262144
5441878,1,262144
5333842,1,262144
5421874,1,262144
5543358,1,262144
5312928,1,262144
5311374,1,262144
5400168,1,262144
5422716,1,262144
5969618,1,262144
6086542,1,262144
5392258,1,262144
5463080,1,262144
5378132,1,262144
5317898,1,262144
5443668,1,262144
5309898,1,262144
5575134,1,262144
5446328,1,262144
5324714,1,262144
5396214,1,262144
5338392,1,262144
5367776,1,262144
5470926,1,262144
5332158,1,262144
5439538,1,262144
5422646,1,262144
5319512,1,262144
5464496,1,262144
5610680,1,262144
5994746,1,262144
5530658,1,262144
5321512,1,262144
5488142,1,262144
5570110,1,262144
5313078,1,262144
5568940,1,262144
5335474,1,262144
5724442,1,262144
5532824,1,262144
5324160,1,262144
5409278,1,262144
5455958,1,262144
5586104,1,262144
5427920,1,262144
5300174,1,262144
5430510,1,262144
5397818,1,262144
5425272,1,262144
5712118,1,262144
6046466,1,262144
5389262,1,262144
5457508,1,262144
5328660,1,262144
5519454,1,262144
5437868,1,262144
5445806,1,262144
5535112,1,262144
5437202,1,262144
5322196,1,262144
5389606,1,262144
5316594,1,262144
5550314,1,262144
5403504,1,262144
5328602,1,262144
5414346,1,262144
5305070,1,262144
5328266,1,262144
5421584,1,262144
5431104,1,262144
6237582,1,262144
5559292,1,262144
5346144,1,262144
5404168,1,262144
5308022,1,262144
5607100,1,262144
5470602,1,262144
5308668,1,262144
5447790,1,262144
5512002,1,262144
5985258,1,262144
5457624,1,262144
5382818,1,262144
5385736,1,262144
5504290,1,262144
5327626,1,262144
5383810,1,262144
5455460,1,262144
5728986,1,262144
5518384,1,262144
6201922,1,262144
5340290,1,262144
5300250,1,262144
5256382,1,262144
5549358,1,262144
5409228,1,262144
5313010,1,262144
5475252,1,262144
5313528,1,262144
5316180,1,262144
5420762,1,262144
5461056,1,262144
5429596,1,262144
5434208,1,262144
5321814,1,262144
5387090,1,262144
5298080,1,262144
5487880,1,262144
5604180,1,262144
5315708,1,262144
5999238,1,262144
5666378,1,262144
5466150,1,262144
5460912,1,262144
5442636,1,262144
5421608,1,262144
5414684,1,262144
5301526,1,262144
5372428,1,262144
5545672,1,262144
5352340,1,262144
5461412,1,262144
5313534,1,262144
5430926,1,262144
5529430,1,262144
5323530,1,262144
5361846,1,262144
5592696,1,262144
5361742,1,262144
5436036,1,262144
5831334,1,262144
5760802,1,262144
5417670,1,262144
5419498,1,262144
5451434,1,262144
5337024,1,262144
5318204,1,262144
5422384,1,262144
5324036,1,262144
5328786,1,262144
5587506,1,262144
5339406,1,262144
5382552,1,262144
5317312,1,262144
5436060,1,262144
5422978,1,262144
5299650,1,262144
5585850,1,262144
5329814,1,262144
5885108,1,262144
6240142,1,262144
7097494,1,262144
