TIME STD,OWRITE STD,PAYLOAD B
6082622,512,262144
5765656,512,262144
5610924,512,262144
5648032,512,262144
5476954,512,262144
5478398,512,262144
5501244,512,262144
5505402,512,262144
5531294,512,262144
5759144,512,262144
5489402,512,262144
5510324,512,262144
5460830,512,262144
5514998,512,262144
5630354,512,262144
5530992,512,262144
5589316,512,262144
5558030,512,262144
5460842,512,262144
5507816,512,262144
5515814,512,262144
5454634,512,262144
5603654,512,262144
5465404,512,262144
5552826,512,262144
5549318,512,262144
5468458,512,262144
5500834,512,262144
5703314,512,262144
5476660,512,262144
5516002,512,262144
5456496,512,262144
5493898,512,262144
5534012,512,262144
5467398,512,262144
5814700,512,262144
5527726,512,262144
5475910,512,262144
5494812,512,262144
5449750,512,262144
5503562,512,262144
5660554,512,262144
5632748,512,262144
5539216,512,262144
5640494,512,262144
5463494,512,262144
5516606,512,262144
5526854,512,262144
5513792,512,262144
5503036,512,262144
5486436,512,262144
5524442,512,262144
5500798,512,262144
5507594,512,262144
5697418,512,262144
5533918,512,262144
5466480,512,262144
5538188,512,262144
5468462,512,262144
5524448,512,262144
5671756,512,262144
5492706,512,262144
5512858,512,262144
5539514,512,262144
5458686,512,262144
5486562,512,262144
5467386,512,262144
5677290,512,262144
5517102,512,262144
5460896,512,262144
5545690,512,262144
5501036,512,262144
5483378,512,262144
5658320,512,262144
5486634,512,262144
5501764,512,262144
5538958,512,262144
5465182,512,262144
5531218,512,262144
5552118,512,262144
5584146,512,262144
5609560,512,262144
5704608,512,262144
5464494,512,262144
5508464,512,262144
5460888,512,262144
6338946,512,262144
5642278,512,262144
5514584,512,262144
5557800,512,262144
5521002,512,262144
5462032,512,262144
5691976,512,262144
5559340,512,262144
5957692,512,262144
5746322,512,262144
5506454,512,262144
5495278,512,262144
5566776,512,262144
5627382,512,262144
5511418,512,262144
5548178,512,262144
5465944,512,262144
5513698,512,262144
5519564,512,262144
5574648,512,262144
5528596,512,262144
5477350,512,262144
5534386,512,262144
5497558,512,262144
5477198,512,262144
5621216,512,262144
5636254,512,262144
5516856,512,262144
5499304,512,262144
5475348,512,262144
5666922,512,262144
5549640,512,262144
5786812,512,262144
5698402,512,262144
5643712,512,262144
5587860,512,262144
5596480,512,262144
5559028,512,262144
5596976,512,262144
5638660,512,262144
5467218,512,262144
5538350,512,262144
5629040,512,262144
5486096,512,262144
5544902,512,262144
5688552,512,262144
5495358,512,262144
5563682,512,262144
5465570,512,262144
5474658,512,262144
5532744,512,262144
5559192,512,262144
5599472,512,262144
5541006,512,262144
5459832,512,262144
5612928,512,262144
5531966,512,262144
5560352,512,262144
5590318,512,262144
5467978,512,262144
5542206,512,262144
5568700,512,262144
5479802,512,262144
5533018,512,262144
5682088,512,262144
5480784,512,262144
5564666,512,262144
5483570,512,262144
5621636,512,262144
5531268,512,262144
5594250,512,262144
5607616,512,262144
5523078,512,262144
5464236,512,262144
5701822,512,262144
5566960,512,262144
5480228,512,262144
5645894,512,262144
5473560,512,262144
5523656,512,262144
5584672,512,262144
5487056,512,262144
5530076,512,262144
5716530,512,262144
5489012,512,262144
5557228,512,262144
5494358,512,262144
5609388,512,262144
5552344,512,262144
5556060,512,262144
5634978,512,262144
5520970,512,262144
5460722,512,262144
5575328,512,262144
5468732,512,262144
5458504,512,262144
5771018,512,262144
5464990,512,262144
5550724,512,262144
5575978,512,262144
5474054,512,262144
5670360,512,262144
5673120,512,262144
5479454,512,262144
5536142,512,262144
5456844,512,262144
5612096,512,262144
5534240,512,262144
5452688,512,262144
5673848,512,262144
5868334,512,262144
5530952,512,262144
5617790,512,262144
5559782,512,262144
5775754,512,262144
5793960,512,262144
5487836,512,262144
5492924,512,262144
5623500,512,262144
5451082,512,262144
5540674,512,262144
5708188,512,262144
5474656,512,262144
5539146,512,262144
5456706,512,262144
5527588,512,262144
5544968,512,262144
5447314,512,262144
5640286,512,262144
5529926,512,262144
5464666,512,262144
5617862,512,262144
5533190,512,262144
5451792,512,262144
5669410,512,262144
5482736,512,262144
5541164,512,262144
5572624,512,262144
5449926,512,262144
5524104,512,262144
5657920,512,262144
5529514,512,262144
5496742,512,262144
5579102,512,262144
5574218,512,262144
5569456,512,262144
5485496,512,262144
5789878,512,262144
5574022,512,262144
5449604,512,262144
5587968,512,262144
5570858,512,262144
5468864,512,262144
5719754,512,262144
5634328,512,262144
5554778,512,262144
5555430,512,262144
5459942,512,262144
5534732,512,262144
5571398,512,262144
5497752,512,262144
5560826,512,262144
5465830,512,262144
5581170,512,262144
5533694,512,262144
5485650,512,262144
5773500,512,262144
5543188,512,262144
5468370,512,262144
5570934,512,262144
5469234,512,262144
5474994,512,262144
5709714,512,262144
5487792,512,262144
5524180,512,262144
5579990,512,262144
5460808,512,262144
5523330,512,262144
5569706,512,262144
5562184,512,262144
5543426,512,262144
5463952,512,262144
5636166,512,262144
5521210,512,262144
5463114,512,262144
5735770,512,262144
5561282,512,262144
