TIME STD,OWRITE STD,PAYLOAD B
390096,32,256
341150,32,256
338850,32,256
338468,32,256
339294,32,256
336560,32,256
338096,32,256
336574,32,256
338088,32,256
339298,32,256
340286,32,256
336976,32,256
336888,32,256
336912,32,256
339174,32,256
336138,32,256
337010,32,256
339220,32,256
337380,32,256
336554,32,256
337774,32,256
341900,32,256
336912,32,256
342002,32,256
337586,32,256
338136,32,256
336906,32,256
335934,32,256
336752,32,256
336694,32,256
337276,32,256
338250,32,256
338266,32,256
337032,32,256
335986,32,256
337210,32,256
337390,32,256
445418,32,256
371958,32,256
339742,32,256
337968,32,256
337462,32,256
339486,32,256
338702,32,256
335620,32,256
338128,32,256
337134,32,256
335570,32,256
337132,32,256
337050,32,256
337904,32,256
404772,32,256
337272,32,256
336592,32,256
335852,32,256
336666,32,256
336858,32,256
335808,32,256
337266,32,256
335230,32,256
335076,32,256
340380,32,256
338248,32,256
339564,32,256
337160,32,256
336972,32,256
337038,32,256
339398,32,256
377386,32,256
336076,32,256
340222,32,256
337988,32,256
335172,32,256
336316,32,256
338788,32,256
337666,32,256
337968,32,256
335088,32,256
338450,32,256
337878,32,256
339642,32,256
336432,32,256
336144,32,256
332922,32,256
335212,32,256
334444,32,256
336838,32,256
335850,32,256
335224,32,256
335058,32,256
336402,32,256
389554,32,256
336988,32,256
335970,32,256
338064,32,256
339706,32,256
334506,32,256
337228,32,256
336486,32,256
336562,32,256
338418,32,256
337328,32,256
336690,32,256
335464,32,256
336260,32,256
337538,32,256
338190,32,256
336700,32,256
425892,32,256
335296,32,256
335864,32,256
335130,32,256
336374,32,256
334612,32,256
335862,32,256
334982,32,256
335446,32,256
336848,32,256
337886,32,256
337968,32,256
338014,32,256
336056,32,256
444326,32,256
335656,32,256
336924,32,256
418596,32,256
335452,32,256
337098,32,256
335548,32,256
336198,32,256
346740,32,256
335712,32,256
334834,32,256
336556,32,256
335692,32,256
336768,32,256
464778,32,256
335414,32,256
337436,32,256
335922,32,256
335114,32,256
335404,32,256
335710,32,256
335722,32,256
337248,32,256
335206,32,256
338092,32,256
335544,32,256
336652,32,256
336114,32,256
335536,32,256
336578,32,256
335578,32,256
336346,32,256
335588,32,256
336736,32,256
334914,32,256
334540,32,256
337946,32,256
335284,32,256
335512,32,256
337230,32,256
335246,32,256
336268,32,256
335870,32,256
472264,32,256
336302,32,256
334434,32,256
336070,32,256
334484,32,256
335336,32,256
335638,32,256
334350,32,256
335688,32,256
337340,32,256
336004,32,256
334020,32,256
336346,32,256
337930,32,256
432574,32,256
339258,32,256
337398,32,256
416826,32,256
335658,32,256
335686,32,256
335676,32,256
335952,32,256
335242,32,256
335060,32,256
334262,32,256
336642,32,256
336614,32,256
336082,32,256
484486,32,256
336016,32,256
335030,32,256
335972,32,256
337474,32,256
335914,32,256
335768,32,256
335102,32,256
336250,32,256
337226,32,256
337602,32,256
336010,32,256
335856,32,256
335604,32,256
337144,32,256
380104,32,256
336824,32,256
335916,32,256
336380,32,256
335694,32,256
335574,32,256
336680,32,256
336176,32,256
337882,32,256
335190,32,256
335368,32,256
336002,32,256
336574,32,256
336854,32,256
339604,32,256
335162,32,256
335252,32,256
335424,32,256
335558,32,256
336306,32,256
335282,32,256
336552,32,256
335968,32,256
333600,32,256
336804,32,256
335564,32,256
335632,32,256
334364,32,256
433580,32,256
337658,32,256
338364,32,256
336794,32,256
337442,32,256
336774,32,256
338358,32,256
335632,32,256
335746,32,256
335982,32,256
336998,32,256
335532,32,256
337148,32,256
337168,32,256
452818,32,256
335870,32,256
338432,32,256
336076,32,256
336600,32,256
335042,32,256
335446,32,256
335608,32,256
337188,32,256
335800,32,256
338062,32,256
335864,32,256
336638,32,256
336324,32,256
334920,32,256
338176,32,256
339032,32,256
373744,32,256
337830,32,256
336126,32,256
337452,32,256
337724,32,256
335690,32,256
337554,32,256
335772,32,256
337874,32,256
335882,32,256
337106,32,256
336768,32,256
336170,32,256
336686,32,256
335446,32,256
334728,32,256
336086,32,256
335280,32,256
335330,32,256
334864,32,256
334832,32,256
335036,32,256
336150,32,256
335306,32,256
335408,32,256
336444,32,256
377648,32,256
337874,32,256
336128,32,256
336950,32,256
379166,32,256
337706,32,256
525560,32,256
642206,32,256
338802,32,256
337524,32,256
336624,32,256
337988,32,256
337076,32,256
344118,32,256
338274,32,256
336144,32,256
336822,32,256
336560,32,256
334788,32,256
337682,32,256
338570,32,256
336940,32,256
336352,32,256
336962,32,256
338676,32,256
337604,32,256
336912,32,256
434066,32,256
339468,32,256
337778,32,256
336036,32,256
334950,32,256
337324,32,256
337078,32,256
337640,32,256
336838,32,256
336768,32,256
335618,32,256
337374,32,256
337464,32,256
336902,32,256
482140,32,256
337922,32,256
335370,32,256
339218,32,256
335888,32,256
338974,32,256
336088,32,256
338572,32,256
337428,32,256
336646,32,256
338356,32,256
336038,32,256
339062,32,256
337784,32,256
339004,32,256
337806,32,256
338850,32,256
338450,32,256
336082,32,256
425102,32,256
336124,32,256
337492,32,256
384754,32,256
477804,32,256
337078,32,256
338444,32,256
337958,32,256
336386,32,256
487330,32,256
335590,32,256
335626,32,256
336230,32,256
335732,32,256
335678,32,256
335664,32,256
336732,32,256
336876,32,256
336100,32,256
336002,32,256
339050,32,256
337762,32,256
337680,32,256
445612,32,256
337510,32,256
339304,32,256
335652,32,256
337934,32,256
338464,32,256
336568,32,256
336470,32,256
334520,32,256
336186,32,256
335402,32,256
336512,32,256
335786,32,256
338940,32,256
336388,32,256
336334,32,256
335314,32,256
336214,32,256
335454,32,256
336188,32,256
338178,32,256
336994,32,256
335680,32,256
335230,32,256
336676,32,256
336626,32,256
337666,32,256
337062,32,256
338384,32,256
338640,32,256
336780,32,256
337104,32,256
337320,32,256
337530,32,256
338994,32,256
334808,32,256
335634,32,256
336994,32,256
536300,32,256
339544,32,256
336602,32,256
338218,32,256
336960,32,256
336260,32,256
336822,32,256
337864,32,256
336504,32,256
335908,32,256
335402,32,256
336006,32,256
336282,32,256
336880,32,256
335124,32,256
335998,32,256
337000,32,256
336566,32,256
335862,32,256
339040,32,256
338648,32,256
336652,32,256
338146,32,256
336542,32,256
336648,32,256
336832,32,256
336846,32,256
337530,32,256
415024,32,256
336158,32,256
380038,32,256
337670,32,256
336136,32,256
339776,32,256
335390,32,256
336490,32,256
337694,32,256
336182,32,256
336062,32,256
336360,32,256
335646,32,256
336620,32,256
335652,32,256
334694,32,256
335464,32,256
338594,32,256
335602,32,256
339802,32,256
338034,32,256
338112,32,256
335978,32,256
339214,32,256
422314,32,256
337060,32,256
335388,32,256
335960,32,256
336970,32,256
400540,32,256
336684,32,256
337338,32,256
335492,32,256
336604,32,256
335026,32,256
336162,32,256
335110,32,256
334868,32,256
335056,32,256
335828,32,256
336432,32,256
336288,32,256
336192,32,256
335404,32,256
336446,32,256
336930,32,256
335684,32,256
338850,32,256
338802,32,256
336124,32,256
334148,32,256
337166,32,256
338908,32,256
336328,32,256
337268,32,256
336548,32,256
336458,32,256
335400,32,256
335688,32,256
336666,32,256
335744,32,256
464084,32,256
335122,32,256
336668,32,256
334506,32,256
336698,32,256
334912,32,256
335512,32,256
337874,32,256
335798,32,256
335440,32,256
337996,32,256
335826,32,256
336352,32,256
336098,32,256
393496,32,256
339070,32,256
336476,32,256
335186,32,256
335836,32,256
337240,32,256
422946,32,256
338064,32,256
336788,32,256
337288,32,256
335800,32,256
551718,32,256
337992,32,256
336388,32,256
480086,32,256
336508,32,256
336250,32,256
337956,32,256
335862,32,256
337522,32,256
337714,32,256
335860,32,256
334918,32,256
336298,32,256
336802,32,256
336812,32,256
336416,32,256
336568,32,256
399784,32,256
336542,32,256
335682,32,256
338158,32,256
338652,32,256
336070,32,256
336490,32,256
336254,32,256
336492,32,256
337280,32,256
336550,32,256
336852,32,256
337228,32,256
337116,32,256
335404,32,256
338566,32,256
335734,32,256
335826,32,256
336894,32,256
335216,32,256
336444,32,256
335960,32,256
335076,32,256
336372,32,256
337274,32,256
335322,32,256
336358,32,256
335932,32,256
336680,32,256
492732,32,256
337928,32,256
336016,32,256
340118,32,256
338634,32,256
336570,32,256
423346,32,256
337592,32,256
336474,32,256
337090,32,256
336326,32,256
485486,32,256
337670,32,256
337030,32,256
337580,32,256
336184,32,256
335798,32,256
335202,32,256
333954,32,256
337580,32,256
449594,32,256
335512,32,256
334918,32,256
335764,32,256
335662,32,256
335146,32,256
335166,32,256
335906,32,256
335830,32,256
334856,32,256
335492,32,256
337406,32,256
335892,32,256
338136,32,256
335782,32,256
336884,32,256
339100,32,256
339182,32,256
335444,32,256
335516,32,256
335586,32,256
338442,32,256
344024,32,256
335322,32,256
335668,32,256
373596,32,256
335584,32,256
334950,32,256
335782,32,256
336420,32,256
334248,32,256
337002,32,256
336760,32,256
335794,32,256
334950,32,256
338976,32,256
466380,32,256
335828,32,256
337122,32,256
335832,32,256
337366,32,256
336122,32,256
336182,32,256
336442,32,256
336750,32,256
336968,32,256
336744,32,256
334742,32,256
576484,32,256
335388,32,256
337896,32,256
335270,32,256
335848,32,256
336808,32,256
335270,32,256
335122,32,256
335858,32,256
336208,32,256
335472,32,256
337244,32,256
334796,32,256
338710,32,256
335992,32,256
337612,32,256
384662,32,256
339250,32,256
337226,32,256
336400,32,256
336132,32,256
336104,32,256
338146,32,256
338148,32,256
337046,32,256
338072,32,256
337314,32,256
338910,32,256
338006,32,256
337064,32,256
478378,32,256
337030,32,256
337004,32,256
338110,32,256
337244,32,256
337274,32,256
336430,32,256
337674,32,256
335964,32,256
336956,32,256
335582,32,256
336104,32,256
336266,32,256
337328,32,256
405364,32,256
336450,32,256
335254,32,256
338442,32,256
336144,32,256
336944,32,256
338562,32,256
382570,32,256
335918,32,256
336662,32,256
336746,32,256
338320,32,256
337562,32,256
482004,32,256
467886,32,256
337116,32,256
335646,32,256
337266,32,256
337424,32,256
336568,32,256
335980,32,256
337104,32,256
339070,32,256
338282,32,256
338930,32,256
336112,32,256
338562,32,256
337112,32,256
392814,32,256
336066,32,256
336100,32,256
336984,32,256
336232,32,256
336598,32,256
335774,32,256
337164,32,256
336092,32,256
336450,32,256
336318,32,256
337010,32,256
337566,32,256
337154,32,256
336620,32,256
337296,32,256
334614,32,256
336216,32,256
335240,32,256
336958,32,256
336970,32,256
335054,32,256
336756,32,256
335564,32,256
335714,32,256
335922,32,256
335866,32,256
335810,32,256
337290,32,256
381870,32,256
335598,32,256
336694,32,256
337168,32,256
335246,32,256
335768,32,256
335868,32,256
382190,32,256
335364,32,256
336002,32,256
338532,32,256
335738,32,256
333892,32,256
335308,32,256
411622,32,256
338220,32,256
337604,32,256
337416,32,256
337706,32,256
335826,32,256
336034,32,256
336056,32,256
336638,32,256
335508,32,256
336060,32,256
336760,32,256
336446,32,256
336836,32,256
387400,32,256
338544,32,256
337060,32,256
335642,32,256
335058,32,256
335254,32,256
334562,32,256
335278,32,256
338048,32,256
336520,32,256
336730,32,256
336142,32,256
337260,32,256
334942,32,256
381920,32,256
336624,32,256
338064,32,256
334488,32,256
337108,32,256
336778,32,256
336778,32,256
336238,32,256
337056,32,256
335132,32,256
339422,32,256
336582,32,256
416078,32,256
337260,32,256
441358,32,256
337054,32,256
334944,32,256
335834,32,256
337816,32,256
335656,32,256
336264,32,256
335444,32,256
423566,32,256
334940,32,256
339394,32,256
335172,32,256
338790,32,256
336078,32,256
534214,32,256
375086,32,256
336158,32,256
334754,32,256
334724,32,256
334882,32,256
334568,32,256
334932,32,256
334620,32,256
335800,32,256
460594,32,256
335486,32,256
333766,32,256
335680,32,256
382296,32,256
334786,32,256
337288,32,256
340466,32,256
336064,32,256
338164,32,256
335890,32,256
338492,32,256
337378,32,256
336540,32,256
336020,32,256
338580,32,256
338090,32,256
335310,32,256
478652,32,256
336206,32,256
335582,32,256
336996,32,256
335644,32,256
338134,32,256
335452,32,256
336920,32,256
336828,32,256
336362,32,256
335598,32,256
337786,32,256
336262,32,256
337974,32,256
430278,32,256
336674,32,256
337970,32,256
337208,32,256
337532,32,256
337408,32,256
336464,32,256
336826,32,256
336700,32,256
372914,32,256
336308,32,256
337736,32,256
