TIME STD,OWRITE STD,PAYLOAD B
1316636,32,32768
1178982,32,32768
1172258,32,32768
1204456,32,32768
1267944,32,32768
1168592,32,32768
1164788,32,32768
1165576,32,32768
1167122,32,32768
1165744,32,32768
1194548,32,32768
1163790,32,32768
1167328,32,32768
1166234,32,32768
1165604,32,32768
1164152,32,32768
1263346,32,32768
1164222,32,32768
1166920,32,32768
1163978,32,32768
1166368,32,32768
1166526,32,32768
1183340,32,32768
1168160,32,32768
1161764,32,32768
1166502,32,32768
1159604,32,32768
1210642,32,32768
1168218,32,32768
1171178,32,32768
1163800,32,32768
1164034,32,32768
1162882,32,32768
1165500,32,32768
1162884,32,32768
1278886,32,32768
1168200,32,32768
1165592,32,32768
1162576,32,32768
1163562,32,32768
1163474,32,32768
1318474,32,32768
1163760,32,32768
1163668,32,32768
1164234,32,32768
1165908,32,32768
1163088,32,32768
1263964,32,32768
1166462,32,32768
1162052,32,32768
1164122,32,32768
1169706,32,32768
1206580,32,32768
1224934,32,32768
1160788,32,32768
1163696,32,32768
1162518,32,32768
1160636,32,32768
1161854,32,32768
1163538,32,32768
1205106,32,32768
1162210,32,32768
1162146,32,32768
1163108,32,32768
1161434,32,32768
1162930,32,32768
1373688,32,32768
1167992,32,32768
1246768,32,32768
1165388,32,32768
1161582,32,32768
1165856,32,32768
1259366,32,32768
1161004,32,32768
1163582,32,32768
1251344,32,32768
1167108,32,32768
1252362,32,32768
1278134,32,32768
1166730,32,32768
1163058,32,32768
1160800,32,32768
1161758,32,32768
1158302,32,32768
1262550,32,32768
1159304,32,32768
1163928,32,32768
1162630,32,32768
1163648,32,32768
1170242,32,32768
1162624,32,32768
1167090,32,32768
1162524,32,32768
1160932,32,32768
1161450,32,32768
1160390,32,32768
1162236,32,32768
1283446,32,32768
1167188,32,32768
1167560,32,32768
1165184,32,32768
1164334,32,32768
1286970,32,32768
1276192,32,32768
1163644,32,32768
1161222,32,32768
1163752,32,32768
1162564,32,32768
1160518,32,32768
1272986,32,32768
1164784,32,32768
1159834,32,32768
1168162,32,32768
1161512,32,32768
1164168,32,32768
1259578,32,32768
1164940,32,32768
1162568,32,32768
1162746,32,32768
1161944,32,32768
1162400,32,32768
1168422,32,32768
1164072,32,32768
1167390,32,32768
1165278,32,32768
1167924,32,32768
1167716,32,32768
1252442,32,32768
1168520,32,32768
1160544,32,32768
1160470,32,32768
1161806,32,32768
1164658,32,32768
1163248,32,32768
1277768,32,32768
1165316,32,32768
1162100,32,32768
1161696,32,32768
1164190,32,32768
1164642,32,32768
1278480,32,32768
1162356,32,32768
1165628,32,32768
1161504,32,32768
1160626,32,32768
1163576,32,32768
1307904,32,32768
1163922,32,32768
1165074,32,32768
1165244,32,32768
1162022,32,32768
1160352,32,32768
1383588,32,32768
1165630,32,32768
1164112,32,32768
1163122,32,32768
1162474,32,32768
1158268,32,32768
1162462,32,32768
1168062,32,32768
1163218,32,32768
1164876,32,32768
1161012,32,32768
1163156,32,32768
1162640,32,32768
1260506,32,32768
1161710,32,32768
1162662,32,32768
1159658,32,32768
1158836,32,32768
1161230,32,32768
1273458,32,32768
1165280,32,32768
1161670,32,32768
1164166,32,32768
1163654,32,32768
1160530,32,32768
1408768,32,32768
1168482,32,32768
1161618,32,32768
1160984,32,32768
1168482,32,32768
1163832,32,32768
1260694,32,32768
1161798,32,32768
1161228,32,32768
1158138,32,32768
1162538,32,32768
1166096,32,32768
1161946,32,32768
1163104,32,32768
1162618,32,32768
1159538,32,32768
1161380,32,32768
1158336,32,32768
1158468,32,32768
1270092,32,32768
1162386,32,32768
1163498,32,32768
1163238,32,32768
1160960,32,32768
1162304,32,32768
1359144,32,32768
1163428,32,32768
1164434,32,32768
1162522,32,32768
1164836,32,32768
1161926,32,32768
1276098,32,32768
1167492,32,32768
1166796,32,32768
1166126,32,32768
1165122,32,32768
1162354,32,32768
1255512,32,32768
1161554,32,32768
1160788,32,32768
1309820,32,32768
1163516,32,32768
1161574,32,32768
1162154,32,32768
1256610,32,32768
1287938,32,32768
1248066,32,32768
1167264,32,32768
1161364,32,32768
1164510,32,32768
1212436,32,32768
1162150,32,32768
1162768,32,32768
1162316,32,32768
1167602,32,32768
1169840,32,32768
1271140,32,32768
1169256,32,32768
1159430,32,32768
1161958,32,32768
1161224,32,32768
1163862,32,32768
1388928,32,32768
1162500,32,32768
1163502,32,32768
1161702,32,32768
1166020,32,32768
1165750,32,32768
1266624,32,32768
1162224,32,32768
1163114,32,32768
1163146,32,32768
1166980,32,32768
1165370,32,32768
1381928,32,32768
1206560,32,32768
1163340,32,32768
1159540,32,32768
1162548,32,32768
1163968,32,32768
1226776,32,32768
1167780,32,32768
1161948,32,32768
1278402,32,32768
1168182,32,32768
1164560,32,32768
1164164,32,32768
1164400,32,32768
1168588,32,32768
1165352,32,32768
1298022,32,32768
1165830,32,32768
1164732,32,32768
1276406,32,32768
1160008,32,32768
1175376,32,32768
1163466,32,32768
1162272,32,32768
1165036,32,32768
1447250,32,32768
1162576,32,32768
1163598,32,32768
1161494,32,32768
1162360,32,32768
1161334,32,32768
1270484,32,32768
1160808,32,32768
1161762,32,32768
1162048,32,32768
1166666,32,32768
1161002,32,32768
1283850,32,32768
1162696,32,32768
1161236,32,32768
1158756,32,32768
1160778,32,32768
1159702,32,32768
1179680,32,32768
1162862,32,32768
1166482,32,32768
1163568,32,32768
1161518,32,32768
1160982,32,32768
1247912,32,32768
1254958,32,32768
1161658,32,32768
1163546,32,32768
1160684,32,32768
1160238,32,32768
1162042,32,32768
1266640,32,32768
1160914,32,32768
1164358,32,32768
1164930,32,32768
1162438,32,32768
1166220,32,32768
1256404,32,32768
1166246,32,32768
1162788,32,32768
1162928,32,32768
1163390,32,32768
1166476,32,32768
1262770,32,32768
1162938,32,32768
1162752,32,32768
1164570,32,32768
1164672,32,32768
1162390,32,32768
1269634,32,32768
1249400,32,32768
1167728,32,32768
1163786,32,32768
1163530,32,32768
1234532,32,32768
1162292,32,32768
1159222,32,32768
1166036,32,32768
1161760,32,32768
1163688,32,32768
1168746,32,32768
1164254,32,32768
1169678,32,32768
1161234,32,32768
1160544,32,32768
1161130,32,32768
1164096,32,32768
1161756,32,32768
1262582,32,32768
1160600,32,32768
1164378,32,32768
1163506,32,32768
1164932,32,32768
1168524,32,32768
1261148,32,32768
1250628,32,32768
1163204,32,32768
1162004,32,32768
1161776,32,32768
1162222,32,32768
1283616,32,32768
1164680,32,32768
1162270,32,32768
1163984,32,32768
1161550,32,32768
1178742,32,32768
1163622,32,32768
1167150,32,32768
1161934,32,32768
1161844,32,32768
1162412,32,32768
1158982,32,32768
1160912,32,32768
1275062,32,32768
1163092,32,32768
1164876,32,32768
1163850,32,32768
1170778,32,32768
1167042,32,32768
1374902,32,32768
1255174,32,32768
1164690,32,32768
1246364,32,32768
1163150,32,32768
1164054,32,32768
1272450,32,32768
1164198,32,32768
1161148,32,32768
1164098,32,32768
1167768,32,32768
1162120,32,32768
1264566,32,32768
1161882,32,32768
1161038,32,32768
1159778,32,32768
1164668,32,32768
1161170,32,32768
1259552,32,32768
1162766,32,32768
1162044,32,32768
1163482,32,32768
1162316,32,32768
1168420,32,32768
1163208,32,32768
1165100,32,32768
1252644,32,32768
1168710,32,32768
1162564,32,32768
1164280,32,32768
1163740,32,32768
1260690,32,32768
1163602,32,32768
1161908,32,32768
1161138,32,32768
1160912,32,32768
1162538,32,32768
1265766,32,32768
1162972,32,32768
1162902,32,32768
1165748,32,32768
1165102,32,32768
1162190,32,32768
1261684,32,32768
1164032,32,32768
1164360,32,32768
1160902,32,32768
1161180,32,32768
1165870,32,32768
1251342,32,32768
1167210,32,32768
1252524,32,32768
1165110,32,32768
1161012,32,32768
1159832,32,32768
1164602,32,32768
1163462,32,32768
