TIME STD,OWRITE STD,PAYLOAD B
3170838,1,131072
2844052,1,131072
2721534,1,131072
2709554,1,131072
2714082,1,131072
2836570,1,131072
2717060,1,131072
2792218,1,131072
2747334,1,131072
2737998,1,131072
2755132,1,131072
2735664,1,131072
2734560,1,131072
3068864,1,131072
2769728,1,131072
2766350,1,131072
2744516,1,131072
2833568,1,131072
2882744,1,131072
2738546,1,131072
2742656,1,131072
2874830,1,131072
2877192,1,131072
2740562,1,131072
2850234,1,131072
2737480,1,131072
2742080,1,131072
2825972,1,131072
2734074,1,131072
2863128,1,131072
2849492,1,131072
2739910,1,131072
2733962,1,131072
2785614,1,131072
2733436,1,131072
2732372,1,131072
2833798,1,131072
2736342,1,131072
2735290,1,131072
2807688,1,131072
2739542,1,131072
2860328,1,131072
2835586,1,131072
2738534,1,131072
2828202,1,131072
2866086,1,131072
2738454,1,131072
2739576,1,131072
2830638,1,131072
2734102,1,131072
2735954,1,131072
2785848,1,131072
2734688,1,131072
2817052,1,131072
2841706,1,131072
2740060,1,131072
2734330,1,131072
2753192,1,131072
2734370,1,131072
2731858,1,131072
2847436,1,131072
2736602,1,131072
2738716,1,131072
2806628,1,131072
2745408,1,131072
2822868,1,131072
2836410,1,131072
2736908,1,131072
2731464,1,131072
2861476,1,131072
2733158,1,131072
2734786,1,131072
2832414,1,131072
2735570,1,131072
2916950,1,131072
2752588,1,131072
2842680,1,131072
2833438,1,131072
2841946,1,131072
2735954,1,131072
2740202,1,131072
2784550,1,131072
2973970,1,131072
2744626,1,131072
2882736,1,131072
2741326,1,131072
2737556,1,131072
2823140,1,131072
2739344,1,131072
2779370,1,131072
2896644,1,131072
2741962,1,131072
2737788,1,131072
2883906,1,131072
2755604,1,131072
2732000,1,131072
2833970,1,131072
2734812,1,131072
2744928,1,131072
2778450,1,131072
2735070,1,131072
2733692,1,131072
2843420,1,131072
2738226,1,131072
2746346,1,131072
2845340,1,131072
2744802,1,131072
2742832,1,131072
2815056,1,131072
2731876,1,131072
2736510,1,131072
2845434,1,131072
2740882,1,131072
2736616,1,131072
2957932,1,131072
2741118,1,131072
2737390,1,131072
2900758,1,131072
2744378,1,131072
2861158,1,131072
2770910,1,131072
2734360,1,131072
2738238,1,131072
2891216,1,131072
2740612,1,131072
2736364,1,131072
2908166,1,131072
2739266,1,131072
2736320,1,131072
2840022,1,131072
2737376,1,131072
2734314,1,131072
2839276,1,131072
2747000,1,131072
2732672,1,131072
2826084,1,131072
2732672,1,131072
2723326,1,131072
2864494,1,131072
2738168,1,131072
2741486,1,131072
2865558,1,131072
2746212,1,131072
2739734,1,131072
2757176,1,131072
2735520,1,131072
2733454,1,131072
2831622,1,131072
2734758,1,131072
2817492,1,131072
2838726,1,131072
2866290,1,131072
2742150,1,131072
2871114,1,131072
2738722,1,131072
2734240,1,131072
2809344,1,131072
2861338,1,131072
2734422,1,131072
2834304,1,131072
2738222,1,131072
2740452,1,131072
3016614,1,131072
2733886,1,131072
2735292,1,131072
2843604,1,131072
2741848,1,131072
2739546,1,131072
2779050,1,131072
2739822,1,131072
2738432,1,131072
2842526,1,131072
2736246,1,131072
2740258,1,131072
2957046,1,131072
2735264,1,131072
2738234,1,131072
2807504,1,131072
2741280,1,131072
2733434,1,131072
2837066,1,131072
2834764,1,131072
2740532,1,131072
2942168,1,131072
2740768,1,131072
2738848,1,131072
2856870,1,131072
2732512,1,131072
2736764,1,131072
2779258,1,131072
2730424,1,131072
2732790,1,131072
2845092,1,131072
2727594,1,131072
2829506,1,131072
2811580,1,131072
2740270,1,131072
2731494,1,131072
2834728,1,131072
2737054,1,131072
2736556,1,131072
2760082,1,131072
2736772,1,131072
2738688,1,131072
2847296,1,131072
2739480,1,131072
2741112,1,131072
2829694,1,131072
2732726,1,131072
2734566,1,131072
2841970,1,131072
2742854,1,131072
2734336,1,131072
2775292,1,131072
2733736,1,131072
2822916,1,131072
2834644,1,131072
2738674,1,131072
2733812,1,131072
2745414,1,131072
2733206,1,131072
2735610,1,131072
2805822,1,131072
2783486,1,131072
2740762,1,131072
2953896,1,131072
2870578,1,131072
2737378,1,131072
2836704,1,131072
2733420,1,131072
2746442,1,131072
2964328,1,131072
2833212,1,131072
2744334,1,131072
2834144,1,131072
2771124,1,131072
2732652,1,131072
2799596,1,131072
2740276,1,131072
2733648,1,131072
2849424,1,131072
2736004,1,131072
2737702,1,131072
2807826,1,131072
2733200,1,131072
2726866,1,131072
2832594,1,131072
2870134,1,131072
2739558,1,131072
2825356,1,131072
2743662,1,131072
2740704,1,131072
2847446,1,131072
2740496,1,131072
2735800,1,131072
2781848,1,131072
2736026,1,131072
2732436,1,131072
2842480,1,131072
2820770,1,131072
2742296,1,131072
2803396,1,131072
2734814,1,131072
2736660,1,131072
2843722,1,131072
2736490,1,131072
2729400,1,131072
2821912,1,131072
2736620,1,131072
2737674,1,131072
2839948,1,131072
2821624,1,131072
2736618,1,131072
2769052,1,131072
2734856,1,131072
2731614,1,131072
2859130,1,131072
2737936,1,131072
2742456,1,131072
2974594,1,131072
2744976,1,131072
2730396,1,131072
2849386,1,131072
2863164,1,131072
2739686,1,131072
2821630,1,131072
2737196,1,131072
2737126,1,131072
2844690,1,131072
2732238,1,131072
2735614,1,131072
2772924,1,131072
2731318,1,131072
2736052,1,131072
2842612,1,131072
2854082,1,131072
2732718,1,131072
2805018,1,131072
2748092,1,131072
2732596,1,131072
2969114,1,131072
2874142,1,131072
2741938,1,131072
2835522,1,131072
2740178,1,131072
2741684,1,131072
2868038,1,131072
2871880,1,131072
2743064,1,131072
2775386,1,131072
2745634,1,131072
2738360,1,131072
2831236,1,131072
2746494,1,131072
2737008,1,131072
2755258,1,131072
2740604,1,131072
2741524,1,131072
2853126,1,131072
2832754,1,131072
2747174,1,131072
2806436,1,131072
2740232,1,131072
2732338,1,131072
2847576,1,131072
2740180,1,131072
2730796,1,131072
2969442,1,131072
2743514,1,131072
2733866,1,131072
2846328,1,131072
2861852,1,131072
2747486,1,131072
2808314,1,131072
2724770,1,131072
2738862,1,131072
2836154,1,131072
2734220,1,131072
2737576,1,131072
2759238,1,131072
2732012,1,131072
2753716,1,131072
2840370,1,131072
2819166,1,131072
2744452,1,131072
2896772,1,131072
2740476,1,131072
2729116,1,131072
2841724,1,131072
2997754,1,131072
2797096,1,131072
2906866,1,131072
2743010,1,131072
2733690,1,131072
2842736,1,131072
2855780,1,131072
2740056,1,131072
2783274,1,131072
2735790,1,131072
3136316,1,131072
2926528,1,131072
2752626,1,131072
2743606,1,131072
2755230,1,131072
2744794,1,131072
2738910,1,131072
2841380,1,131072
2828370,1,131072
2740370,1,131072
2755446,1,131072
2737478,1,131072
2739176,1,131072
2839502,1,131072
2737850,1,131072
2734778,1,131072
2785350,1,131072
2826248,1,131072
2741036,1,131072
2867542,1,131072
2835736,1,131072
2745910,1,131072
2756578,1,131072
2858624,1,131072
2740348,1,131072
2840582,1,131072
2734678,1,131072
2737108,1,131072
2745772,1,131072
2735258,1,131072
2742998,1,131072
2840638,1,131072
2741688,1,131072
2772650,1,131072
2823984,1,131072
2739686,1,131072
2736880,1,131072
2831702,1,131072
2738664,1,131072
2733764,1,131072
3071654,1,131072
2739304,1,131072
2738044,1,131072
2837430,1,131072
2732476,1,131072
2738910,1,131072
2771352,1,131072
2734428,1,131072
2731556,1,131072
2836534,1,131072
2735340,1,131072
2732636,1,131072
2752478,1,131072
2738846,1,131072
2735340,1,131072
2900922,1,131072
2743928,1,131072
2864908,1,131072
2814490,1,131072
2737708,1,131072
2738350,1,131072
2841576,1,131072
2736696,1,131072
2733858,1,131072
2862016,1,131072
2748544,1,131072
2738356,1,131072
2834320,1,131072
2751756,1,131072
2866642,1,131072
2802528,1,131072
2734888,1,131072
2738274,1,131072
2879840,1,131072
2741580,1,131072
2746080,1,131072
2748722,1,131072
2734014,1,131072
2733858,1,131072
2846252,1,131072
2744818,1,131072
2864732,1,131072
2758422,1,131072
