TIME SBOX,OWRITE SBOX,PAYLOAD B
549692,16,128
488776,16,128
550248,16,128
512972,16,128
487174,16,128
484212,16,128
483346,16,128
481730,16,128
480754,16,128
482718,16,128
619680,16,128
475844,16,128
438346,16,128
486128,16,128
441032,16,128
471366,16,128
442670,16,128
437910,16,128
440150,16,128
437938,16,128
439282,16,128
441500,16,128
505384,16,128
503668,16,128
512252,16,128
444830,16,128
445994,16,128
512442,16,128
480100,16,128
443592,16,128
448950,16,128
478160,16,128
446198,16,128
479280,16,128
447526,16,128
444442,16,128
479572,16,128
480022,16,128
535872,16,128
466856,16,128
462140,16,128
466774,16,128
465948,16,128
466696,16,128
567224,16,128
564724,16,128
566230,16,128
566110,16,128
573074,16,128
559898,16,128
464346,16,128
563752,16,128
486636,16,128
463878,16,128
461132,16,128
462240,16,128
559882,16,128
567444,16,128
563586,16,128
560712,16,128
601002,16,128
635554,16,128
601448,16,128
564526,16,128
568140,16,128
564272,16,128
606034,16,128
562096,16,128
566088,16,128
463700,16,128
497008,16,128
460082,16,128
461234,16,128
461042,16,128
462296,16,128
558308,16,128
560018,16,128
562216,16,128
600406,16,128
661572,16,128
578288,16,128
574416,16,128
572184,16,128
574986,16,128
583064,16,128
480790,16,128
477064,16,128
477346,16,128
497550,16,128
477834,16,128
477842,16,128
474524,16,128
474574,16,128
478492,16,128
478580,16,128
478798,16,128
476590,16,128
476768,16,128
512306,16,128
476870,16,128
478706,16,128
475396,16,128
477636,16,128
474484,16,128
476994,16,128
479484,16,128
476236,16,128
478776,16,128
515154,16,128
479464,16,128
476928,16,128
478416,16,128
477244,16,128
510350,16,128
480036,16,128
482066,16,128
478590,16,128
480898,16,128
587378,16,128
475620,16,128
476632,16,128
473742,16,128
475418,16,128
472878,16,128
476856,16,128
475408,16,128
634436,16,128
475800,16,128
603422,16,128
602792,16,128
601940,16,128
632866,16,128
611866,16,128
593036,16,128
576690,16,128
575584,16,128
548942,16,128
512302,16,128
479864,16,128
474626,16,128
540048,16,128
440996,16,128
441616,16,128
437694,16,128
475694,16,128
468090,16,128
442940,16,128
440186,16,128
442064,16,128
444052,16,128
497298,16,128
485696,16,128
577062,16,128
476744,16,128
441002,16,128
443214,16,128
437544,16,128
468282,16,128
436296,16,128
433742,16,128
467580,16,128
437666,16,128
538730,16,128
434022,16,128
471876,16,128
533616,16,128
445126,16,128
439550,16,128
512884,16,128
509154,16,128
445256,16,128
478446,16,128
442764,16,128
438636,16,128
509296,16,128
510710,16,128
464576,16,128
470050,16,128
468056,16,128
438662,16,128
515466,16,128
434156,16,128
433612,16,128
435038,16,128
436852,16,128
432220,16,128
431668,16,128
442324,16,128
433972,16,128
464942,16,128
501556,16,128
435332,16,128
548074,16,128
502220,16,128
467800,16,128
434390,16,128
433336,16,128
504714,16,128
