TIME SBOX,OWRITE SBOX,PAYLOAD B
660456,16,256
1268632,16,256
707134,16,256
677436,16,256
542322,16,256
566274,16,256
1210478,16,256
799358,16,256
638794,16,256
836108,16,256
1293290,16,256
600566,16,256
696660,16,256
659742,16,256
1043748,16,256
794362,16,256
651502,16,256
538918,16,256
718216,16,256
719402,16,256
846148,16,256
814714,16,256
602306,16,256
972026,16,256
572268,16,256
1441768,16,256
1423834,16,256
1624060,16,256
1521898,16,256
1110680,16,256
749748,16,256
663572,16,256
727554,16,256
636884,16,256
639134,16,256
1235554,16,256
536116,16,256
465432,16,256
461972,16,256
462524,16,256
457896,16,256
457382,16,256
459804,16,256
460680,16,256
460814,16,256
460714,16,256
564664,16,256
456318,16,256
456562,16,256
456300,16,256
457074,16,256
455124,16,256
457558,16,256
457072,16,256
466714,16,256
466238,16,256
464916,16,256
465784,16,256
497082,16,256
461302,16,256
465118,16,256
460138,16,256
462090,16,256
461356,16,256
466084,16,256
462004,16,256
463232,16,256
462458,16,256
461366,16,256
462106,16,256
462246,16,256
461112,16,256
461250,16,256
463696,16,256
458284,16,256
460512,16,256
460680,16,256
487034,16,256
460576,16,256
462474,16,256
462796,16,256
464502,16,256
461580,16,256
463408,16,256
462134,16,256
460972,16,256
460912,16,256
460588,16,256
461028,16,256
461764,16,256
460228,16,256
462896,16,256
470846,16,256
460998,16,256
460098,16,256
461064,16,256
461022,16,256
468488,16,256
555772,16,256
474728,16,256
471640,16,256
472656,16,256
471878,16,256
479330,16,256
473770,16,256
476040,16,256
472960,16,256
473316,16,256
514724,16,256
474358,16,256
470752,16,256
472914,16,256
474608,16,256
474630,16,256
471628,16,256
471876,16,256
472762,16,256
471816,16,256
553444,16,256
473668,16,256
471940,16,256
472032,16,256
473586,16,256
471852,16,256
470994,16,256
473700,16,256
471492,16,256
472316,16,256
492164,16,256
479962,16,256
475478,16,256
474486,16,256
473006,16,256
474516,16,256
472940,16,256
473420,16,256
473240,16,256
473172,16,256
733936,16,256
473716,16,256
471198,16,256
471802,16,256
471854,16,256
473654,16,256
471170,16,256
472312,16,256
471588,16,256
472456,16,256
492528,16,256
471904,16,256
471622,16,256
471848,16,256
471066,16,256
506578,16,256
472078,16,256
472220,16,256
470678,16,256
473400,16,256
471124,16,256
472750,16,256
471064,16,256
471782,16,256
469850,16,256
471360,16,256
470894,16,256
471808,16,256
474496,16,256
472464,16,256
471396,16,256
473960,16,256
473118,16,256
471150,16,256
474426,16,256
473414,16,256
472096,16,256
472834,16,256
474474,16,256
471218,16,256
