TIME SBOX,OWRITE SBOX,PAYLOAD B
4106696,1,131072
3728590,1,131072
3474758,1,131072
3598234,1,131072
3464206,1,131072
3650952,1,131072
3594422,1,131072
3476976,1,131072
3638500,1,131072
3564278,1,131072
3610954,1,131072
3548290,1,131072
3511680,1,131072
3518710,1,131072
3478254,1,131072
3505986,1,131072
3473064,1,131072
3804910,1,131072
3506218,1,131072
3492928,1,131072
3514724,1,131072
3480174,1,131072
3607334,1,131072
3548352,1,131072
3645962,1,131072
3607456,1,131072
3571140,1,131072
3507602,1,131072
3756578,1,131072
3627430,1,131072
3588404,1,131072
3576974,1,131072
3470836,1,131072
3784614,1,131072
3411502,1,131072
3588002,1,131072
3588380,1,131072
3564934,1,131072
3783122,1,131072
3616942,1,131072
3572086,1,131072
3583032,1,131072
3672590,1,131072
3486444,1,131072
3497414,1,131072
3564168,1,131072
3541770,1,131072
3532014,1,131072
3452974,1,131072
3538074,1,131072
3527860,1,131072
3540306,1,131072
3521632,1,131072
4452392,1,131072
3780528,1,131072
3563746,1,131072
3674148,1,131072
3620716,1,131072
3568592,1,131072
3544690,1,131072
3546112,1,131072
3712270,1,131072
3680840,1,131072
3638574,1,131072
3448392,1,131072
3560228,1,131072
3510068,1,131072
3485950,1,131072
3493766,1,131072
3495772,1,131072
3402448,1,131072
3484854,1,131072
3475280,1,131072
3689526,1,131072
3570852,1,131072
3669508,1,131072
3472458,1,131072
3547550,1,131072
3522762,1,131072
3535886,1,131072
3519568,1,131072
3417474,1,131072
3730724,1,131072
3639234,1,131072
3708664,1,131072
3513954,1,131072
3503860,1,131072
3585392,1,131072
3506060,1,131072
3721178,1,131072
3548466,1,131072
3602964,1,131072
3573908,1,131072
3557774,1,131072
3632326,1,131072
3546604,1,131072
3584952,1,131072
3584794,1,131072
3641476,1,131072
3483326,1,131072
3639778,1,131072
3623466,1,131072
3477278,1,131072
3593684,1,131072
3546422,1,131072
3679376,1,131072
3607640,1,131072
3470104,1,131072
3645554,1,131072
3580688,1,131072
3434340,1,131072
3477456,1,131072
3725266,1,131072
3513182,1,131072
3541416,1,131072
3799714,1,131072
3628784,1,131072
3519812,1,131072
3485184,1,131072
3647860,1,131072
3540304,1,131072
3521804,1,131072
3616904,1,131072
3484242,1,131072
3531318,1,131072
3613096,1,131072
3660738,1,131072
3612496,1,131072
3512118,1,131072
3557110,1,131072
3531524,1,131072
3607552,1,131072
3610200,1,131072
3630432,1,131072
3548334,1,131072
3576636,1,131072
3475698,1,131072
3610776,1,131072
3574338,1,131072
3481726,1,131072
3601968,1,131072
3475646,1,131072
3572226,1,131072
3551312,1,131072
3668244,1,131072
3605598,1,131072
3506286,1,131072
3802978,1,131072
3583170,1,131072
3641444,1,131072
3403326,1,131072
3628930,1,131072
3651540,1,131072
3595148,1,131072
3631048,1,131072
3462546,1,131072
3645084,1,131072
3452072,1,131072
3490446,1,131072
3690260,1,131072
3458334,1,131072
3500614,1,131072
3617798,1,131072
7112754,1,131072
3550878,1,131072
3472952,1,131072
3411478,1,131072
3586750,1,131072
3401886,1,131072
3506598,1,131072
3477440,1,131072
3458466,1,131072
3572818,1,131072
3487470,1,131072
4687112,1,131072
3416000,1,131072
3590762,1,131072
3606914,1,131072
3466248,1,131072
3472222,1,131072
3491670,1,131072
3565136,1,131072
3494762,1,131072
3663832,1,131072
3801270,1,131072
3462442,1,131072
3733484,1,131072
3460904,1,131072
3571100,1,131072
3460298,1,131072
3702432,1,131072
3394986,1,131072
3543272,1,131072
3650900,1,131072
3692010,1,131072
3624470,1,131072
3384540,1,131072
3749528,1,131072
3667962,1,131072
3401330,1,131072
3435798,1,131072
3425670,1,131072
3639396,1,131072
3583918,1,131072
3611516,1,131072
3477656,1,131072
3627520,1,131072
3405446,1,131072
3681550,1,131072
3783756,1,131072
3502784,1,131072
3762786,1,131072
3528194,1,131072
3595348,1,131072
3481086,1,131072
3455274,1,131072
3598520,1,131072
3463000,1,131072
3505738,1,131072
3559152,1,131072
3591044,1,131072
3572438,1,131072
3522666,1,131072
3522852,1,131072
3535892,1,131072
3557306,1,131072
3482560,1,131072
3528710,1,131072
3467076,1,131072
3690858,1,131072
3707222,1,131072
3593400,1,131072
3528014,1,131072
3530594,1,131072
3472578,1,131072
3603520,1,131072
3592930,1,131072
3642110,1,131072
3458622,1,131072
3572422,1,131072
3626894,1,131072
3590384,1,131072
3504860,1,131072
3830280,1,131072
3567258,1,131072
3387552,1,131072
3613222,1,131072
3596918,1,131072
3558776,1,131072
3460592,1,131072
3732984,1,131072
3650642,1,131072
3570162,1,131072
3637112,1,131072
3530738,1,131072
3517390,1,131072
3521268,1,131072
3517556,1,131072
3646282,1,131072
3453794,1,131072
3563128,1,131072
3550782,1,131072
3423768,1,131072
3491150,1,131072
3457132,1,131072
3545234,1,131072
3477866,1,131072
3486124,1,131072
3531390,1,131072
3393364,1,131072
3562268,1,131072
3701514,1,131072
3532522,1,131072
3476060,1,131072
3386826,1,131072
3431442,1,131072
3424322,1,131072
3555496,1,131072
3462472,1,131072
3528846,1,131072
3444188,1,131072
3751982,1,131072
3399452,1,131072
3493958,1,131072
3703810,1,131072
3470848,1,131072
3555750,1,131072
3456400,1,131072
3661664,1,131072
3557546,1,131072
3597024,1,131072
3779548,1,131072
3633180,1,131072
3672696,1,131072
3669538,1,131072
3578488,1,131072
3497156,1,131072
3534126,1,131072
3646146,1,131072
3474532,1,131072
3609860,1,131072
3472862,1,131072
3601938,1,131072
3464634,1,131072
3462488,1,131072
3682558,1,131072
3595748,1,131072
3501794,1,131072
3751884,1,131072
3510712,1,131072
3531930,1,131072
3463290,1,131072
3712358,1,131072
3715624,1,131072
3665742,1,131072
3485562,1,131072
3532396,1,131072
3599552,1,131072
3635230,1,131072
3518544,1,131072
3826816,1,131072
3717488,1,131072
3505112,1,131072
3584270,1,131072
3568234,1,131072
3407624,1,131072
3572358,1,131072
3415204,1,131072
3533764,1,131072
3509572,1,131072
3546366,1,131072
3577496,1,131072
3366164,1,131072
3469192,1,131072
3694198,1,131072
3656650,1,131072
3407918,1,131072
3598198,1,131072
3403150,1,131072
3585600,1,131072
3539246,1,131072
3667352,1,131072
3529328,1,131072
3862568,1,131072
3787894,1,131072
3646272,1,131072
3517872,1,131072
3440820,1,131072
3641628,1,131072
3620380,1,131072
3502052,1,131072
3573074,1,131072
3544064,1,131072
3714054,1,131072
3624546,1,131072
3636058,1,131072
3616052,1,131072
3432046,1,131072
3670674,1,131072
3702644,1,131072
3524940,1,131072
3470904,1,131072
3458198,1,131072
3579368,1,131072
3476610,1,131072
3436424,1,131072
3732652,1,131072
3503922,1,131072
3439220,1,131072
3531330,1,131072
3469406,1,131072
3404808,1,131072
3580924,1,131072
3523852,1,131072
3632596,1,131072
3465968,1,131072
3629770,1,131072
3774484,1,131072
3422082,1,131072
3511150,1,131072
3547906,1,131072
3410670,1,131072
3517982,1,131072
3527962,1,131072
3799324,1,131072
3663500,1,131072
3628764,1,131072
3498844,1,131072
3633018,1,131072
3606708,1,131072
3455634,1,131072
3666516,1,131072
3494476,1,131072
3582224,1,131072
3663480,1,131072
3509876,1,131072
3533852,1,131072
3705574,1,131072
3531058,1,131072
3564042,1,131072
3560358,1,131072
3491564,1,131072
3521720,1,131072
3425316,1,131072
3455702,1,131072
3774088,1,131072
3456408,1,131072
3623626,1,131072
3588770,1,131072
3481798,1,131072
3454896,1,131072
3555498,1,131072
3560478,1,131072
3483030,1,131072
3591900,1,131072
3525794,1,131072
3421604,1,131072
3448064,1,131072
3508514,1,131072
3560346,1,131072
3634014,1,131072
3626518,1,131072
3623104,1,131072
3466098,1,131072
3588998,1,131072
3378098,1,131072
3430256,1,131072
3589286,1,131072
3611528,1,131072
3446034,1,131072
3493036,1,131072
3460446,1,131072
3516702,1,131072
3563238,1,131072
3544452,1,131072
3680148,1,131072
3380994,1,131072
3450188,1,131072
3589442,1,131072
3467748,1,131072
3544532,1,131072
3588302,1,131072
3707354,1,131072
3469810,1,131072
3386122,1,131072
3495200,1,131072
3694992,1,131072
3559884,1,131072
3501946,1,131072
3657392,1,131072
3553542,1,131072
3521252,1,131072
3528656,1,131072
3456530,1,131072
3511338,1,131072
3452446,1,131072
3594246,1,131072
3462734,1,131072
3578548,1,131072
3440808,1,131072
3451128,1,131072
3563286,1,131072
3416994,1,131072
3667620,1,131072
3452138,1,131072
3524980,1,131072
3536192,1,131072
3643690,1,131072
3597560,1,131072
3388920,1,131072
3644144,1,131072
3549236,1,131072
3449508,1,131072
3645248,1,131072
3479024,1,131072
3788426,1,131072
3583874,1,131072
3661620,1,131072
3551638,1,131072
3693956,1,131072
3555798,1,131072
3518310,1,131072
3469932,1,131072
3552584,1,131072
3722490,1,131072
3530190,1,131072
3548632,1,131072
3577400,1,131072
3554286,1,131072
3600430,1,131072
3587826,1,131072
3545880,1,131072
3456540,1,131072
3416070,1,131072
3577016,1,131072
3737234,1,131072
3689582,1,131072
3602738,1,131072
3614922,1,131072
3484080,1,131072
3552946,1,131072
3631412,1,131072
3561812,1,131072
3760594,1,131072
3519128,1,131072
3630634,1,131072
3489238,1,131072
3517610,1,131072
3533652,1,131072
3459226,1,131072
3645584,1,131072
3496834,1,131072
3664024,1,131072
3516784,1,131072
3562412,1,131072
3559172,1,131072
3530282,1,131072
3637124,1,131072
3590650,1,131072
3444264,1,131072
3455742,1,131072
3582280,1,131072
3525456,1,131072
3515996,1,131072
3527358,1,131072
3486954,1,131072
3346184,1,131072
3458282,1,131072
3502758,1,131072
3531302,1,131072
3372090,1,131072
3514060,1,131072
3436660,1,131072
3599288,1,131072
3526932,1,131072
3470810,1,131072
3524630,1,131072
3615422,1,131072
