TIME SBOX,OWRITE SBOX,PAYLOAD B
6237048,8192,65536
6100646,8192,65536
6012346,8192,65536
6293638,8192,65536
6409988,8192,65536
6128062,8192,65536
6063838,8192,65536
6080544,8192,65536
6122740,8192,65536
6053070,8192,65536
6346762,8192,65536
5981512,8192,65536
6076434,8192,65536
6132542,8192,65536
6018810,8192,65536
6052706,8192,65536
6176018,8192,65536
6421628,8192,65536
6137696,8192,65536
6182184,8192,65536
6116728,8192,65536
6217120,8192,65536
6135010,8192,65536
6013208,8192,65536
6066918,8192,65536
5967328,8192,65536
6238734,8192,65536
6400620,8192,65536
6134498,8192,65536
6157834,8192,65536
6231106,8192,65536
6132262,8192,65536
6135996,8192,65536
6014338,8192,65536
6093614,8192,65536
6073914,8192,65536
6065996,8192,65536
6169946,8192,65536
5987352,8192,65536
6202804,8192,65536
6460514,8192,65536
6184374,8192,65536
5973576,8192,65536
6144832,8192,65536
6065782,8192,65536
6112312,8192,65536
6168240,8192,65536
6081898,8192,65536
6145954,8192,65536
6058750,8192,65536
6029070,8192,65536
6100382,8192,65536
6266622,8192,65536
6315966,8192,65536
6084782,8192,65536
6023592,8192,65536
6065474,8192,65536
6030954,8192,65536
6023134,8192,65536
6186026,8192,65536
6023120,8192,65536
5974434,8192,65536
6242824,8192,65536
5965488,8192,65536
6027778,8192,65536
6101702,8192,65536
6441572,8192,65536
6065482,8192,65536
6077722,8192,65536
6431916,8192,65536
6015752,8192,65536
6028174,8192,65536
6193534,8192,65536
6127592,8192,65536
6140310,8192,65536
6118328,8192,65536
5991742,8192,65536
6067100,8192,65536
6171004,8192,65536
6453454,8192,65536
6079476,8192,65536
6028924,8192,65536
6110084,8192,65536
6070070,8192,65536
6029138,8192,65536
6084334,8192,65536
6197840,8192,65536
6034706,8192,65536
6126598,8192,65536
5988864,8192,65536
6018016,8192,65536
6003920,8192,65536
6440106,8192,65536
6173746,8192,65536
6174384,8192,65536
6319970,8192,65536
6110016,8192,65536
6043680,8192,65536
6070908,8192,65536
6100678,8192,65536
6063978,8192,65536
6067300,8192,65536
6064038,8192,65536
6090790,8192,65536
6122230,8192,65536
6385084,8192,65536
6122066,8192,65536
5963748,8192,65536
6317920,8192,65536
6177228,8192,65536
6069330,8192,65536
6054956,8192,65536
6153516,8192,65536
6092404,8192,65536
6060218,8192,65536
6826556,8192,65536
6172288,8192,65536
6110932,8192,65536
6271744,8192,65536
6081582,8192,65536
6007420,8192,65536
6084148,8192,65536
6085654,8192,65536
6054792,8192,65536
6090616,8192,65536
6538690,8192,65536
6033418,8192,65536
6251816,8192,65536
6511258,8192,65536
6106250,8192,65536
6164696,8192,65536
6076774,8192,65536
6153038,8192,65536
5992460,8192,65536
6538508,8192,65536
6096708,8192,65536
6105460,8192,65536
6207428,8192,65536
6286482,8192,65536
6250848,8192,65536
5996800,8192,65536
6198610,8192,65536
6168332,8192,65536
6154148,8192,65536
6099512,8192,65536
6121372,8192,65536
6015776,8192,65536
6050718,8192,65536
6123252,8192,65536
5946396,8192,65536
6109986,8192,65536
6412288,8192,65536
5972504,8192,65536
5962682,8192,65536
6385818,8192,65536
6271266,8192,65536
5997748,8192,65536
6101988,8192,65536
6110000,8192,65536
5985482,8192,65536
6185826,8192,65536
6017584,8192,65536
5990586,8192,65536
6243508,8192,65536
6358690,8192,65536
6118906,8192,65536
6043582,8192,65536
6401774,8192,65536
6298434,8192,65536
6137062,8192,65536
6074508,8192,65536
6195684,8192,65536
5962586,8192,65536
6129006,8192,65536
6406434,8192,65536
6056192,8192,65536
6005230,8192,65536
6358844,8192,65536
6109562,8192,65536
6178578,8192,65536
6126604,8192,65536
6018930,8192,65536
6038946,8192,65536
6204782,8192,65536
6093532,8192,65536
6132062,8192,65536
6323400,8192,65536
6345276,8192,65536
6247146,8192,65536
6026786,8192,65536
6143186,8192,65536
6186928,8192,65536
6028674,8192,65536
6075010,8192,65536
6052832,8192,65536
6088932,8192,65536
6305412,8192,65536
6353684,8192,65536
6049830,8192,65536
6039770,8192,65536
6381990,8192,65536
6174028,8192,65536
6102476,8192,65536
6030166,8192,65536
5989720,8192,65536
5991478,8192,65536
6132272,8192,65536
6131398,8192,65536
6027780,8192,65536
6308844,8192,65536
6364094,8192,65536
6109772,8192,65536
6081870,8192,65536
6066938,8192,65536
6073960,8192,65536
6024418,8192,65536
6180996,8192,65536
5970786,8192,65536
5981674,8192,65536
6172000,8192,65536
6017536,8192,65536
6030692,8192,65536
6104282,8192,65536
6383968,8192,65536
6117778,8192,65536
5961768,8192,65536
6246362,8192,65536
6039140,8192,65536
6085334,8192,65536
6038370,8192,65536
5972498,8192,65536
6018746,8192,65536
6018460,8192,65536
5989092,8192,65536
6011784,8192,65536
6170706,8192,65536
6045490,8192,65536
6050732,8192,65536
6255942,8192,65536
6352876,8192,65536
6047948,8192,65536
6046318,8192,65536
6248792,8192,65536
6116094,8192,65536
6066994,8192,65536
6007994,8192,65536
6219490,8192,65536
5966302,8192,65536
6126684,8192,65536
5956192,8192,65536
5957242,8192,65536
6174614,8192,65536
6344884,8192,65536
6118328,8192,65536
6027674,8192,65536
6323160,8192,65536
6138944,8192,65536
5980102,8192,65536
6057272,8192,65536
6297606,8192,65536
6139794,8192,65536
6055972,8192,65536
6060120,8192,65536
6174140,8192,65536
6180908,8192,65536
6507178,8192,65536
6075840,8192,65536
6058290,8192,65536
6410030,8192,65536
6066328,8192,65536
6102028,8192,65536
6070900,8192,65536
6139556,8192,65536
6021962,8192,65536
6089646,8192,65536
6056032,8192,65536
6031462,8192,65536
6228184,8192,65536
6312476,8192,65536
5973598,8192,65536
6034100,8192,65536
6453284,8192,65536
6120644,8192,65536
6027318,8192,65536
6264540,8192,65536
6108810,8192,65536
6082516,8192,65536
6073604,8192,65536
6027030,8192,65536
6084134,8192,65536
6347428,8192,65536
6417978,8192,65536
5979806,8192,65536
6091304,8192,65536
6449428,8192,65536
6111942,8192,65536
6158470,8192,65536
5998952,8192,65536
6069820,8192,65536
6127996,8192,65536
6259332,8192,65536
6375896,8192,65536
6001698,8192,65536
6175286,8192,65536
6311732,8192,65536
6201468,8192,65536
6028998,8192,65536
6029190,8192,65536
6213044,8192,65536
6016042,8192,65536
6123222,8192,65536
6043096,8192,65536
6153648,8192,65536
6273384,8192,65536
6187786,8192,65536
6652824,8192,65536
6111332,8192,65536
6016930,8192,65536
6070998,8192,65536
6028456,8192,65536
6052296,8192,65536
6064976,8192,65536
6049204,8192,65536
6060592,8192,65536
6027508,8192,65536
6024942,8192,65536
6139166,8192,65536
6367766,8192,65536
6067752,8192,65536
6072238,8192,65536
6349046,8192,65536
6100040,8192,65536
5930998,8192,65536
6242400,8192,65536
6060496,8192,65536
6152798,8192,65536
6250310,8192,65536
6076280,8192,65536
6099140,8192,65536
6406698,8192,65536
6427296,8192,65536
6054132,8192,65536
6173800,8192,65536
6071036,8192,65536
6092912,8192,65536
6021626,8192,65536
6032670,8192,65536
6050790,8192,65536
6026920,8192,65536
6096998,8192,65536
6030986,8192,65536
6151342,8192,65536
6177956,8192,65536
6711922,8192,65536
6256486,8192,65536
5975682,8192,65536
6073920,8192,65536
6273306,8192,65536
6005610,8192,65536
6163302,8192,65536
6025048,8192,65536
6127908,8192,65536
6114166,8192,65536
6413676,8192,65536
6054598,8192,65536
6151526,8192,65536
6069008,8192,65536
6092298,8192,65536
5999014,8192,65536
6142960,8192,65536
6051584,8192,65536
6114404,8192,65536
6072102,8192,65536
6133244,8192,65536
6050474,8192,65536
6146824,8192,65536
6360560,8192,65536
6063742,8192,65536
6144404,8192,65536
6139556,8192,65536
6114198,8192,65536
5973144,8192,65536
6067070,8192,65536
6024844,8192,65536
6096106,8192,65536
6087574,8192,65536
6099100,8192,65536
6032398,8192,65536
6390298,8192,65536
6371690,8192,65536
6000702,8192,65536
6033818,8192,65536
6006756,8192,65536
6183750,8192,65536
6029736,8192,65536
6063324,8192,65536
6057090,8192,65536
6001516,8192,65536
6069036,8192,65536
5997914,8192,65536
6093822,8192,65536
6060614,8192,65536
6086400,8192,65536
6144200,8192,65536
6136014,8192,65536
6918938,8192,65536
6090510,8192,65536
6051178,8192,65536
6140976,8192,65536
6250618,8192,65536
5959232,8192,65536
6116398,8192,65536
6449232,8192,65536
6056958,8192,65536
6042184,8192,65536
6315822,8192,65536
6067238,8192,65536
6067858,8192,65536
6014964,8192,65536
6112670,8192,65536
6014866,8192,65536
6124448,8192,65536
6039512,8192,65536
6054804,8192,65536
6125538,8192,65536
6152478,8192,65536
6126178,8192,65536
6160434,8192,65536
6601032,8192,65536
6205626,8192,65536
6065492,8192,65536
6054984,8192,65536
6033188,8192,65536
6065348,8192,65536
6106562,8192,65536
6021050,8192,65536
6083560,8192,65536
6166350,8192,65536
6389992,8192,65536
6179592,8192,65536
6092986,8192,65536
6350638,8192,65536
5999878,8192,65536
6119142,8192,65536
6100604,8192,65536
6026354,8192,65536
6384392,8192,65536
6352166,8192,65536
6427778,8192,65536
6046100,8192,65536
6075554,8192,65536
6061350,8192,65536
6049250,8192,65536
5987582,8192,65536
6276446,8192,65536
6047026,8192,65536
5980256,8192,65536
6100746,8192,65536
6096892,8192,65536
5985668,8192,65536
6100106,8192,65536
6139880,8192,65536
6032294,8192,65536
6014446,8192,65536
6032740,8192,65536
6099150,8192,65536
5997614,8192,65536
6149208,8192,65536
6030352,8192,65536
5978068,8192,65536
6038272,8192,65536
6072402,8192,65536
5995326,8192,65536
5999136,8192,65536
6071032,8192,65536
6045124,8192,65536
6147952,8192,65536
6172248,8192,65536
6204806,8192,65536
6163540,8192,65536
6074562,8192,65536
6042802,8192,65536
6109170,8192,65536
6010348,8192,65536
6137192,8192,65536
6149730,8192,65536
6018832,8192,65536
6115692,8192,65536
6218790,8192,65536
6039374,8192,65536
6074790,8192,65536
6147030,8192,65536
6144660,8192,65536
6014484,8192,65536
6343292,8192,65536
6077112,8192,65536
6009078,8192,65536
6163650,8192,65536
6180914,8192,65536
6158884,8192,65536
6023288,8192,65536
6116234,8192,65536
6190866,8192,65536
6011310,8192,65536
6060766,8192,65536
6158128,8192,65536
6004846,8192,65536
6119718,8192,65536
6150382,8192,65536
6094618,8192,65536
6004846,8192,65536
6058876,8192,65536
6118288,8192,65536
5977394,8192,65536
6105262,8192,65536
6148904,8192,65536
6104612,8192,65536
5985404,8192,65536
6253554,8192,65536
6042216,8192,65536
5958416,8192,65536
6159262,8192,65536
6040400,8192,65536
6004884,8192,65536
6167588,8192,65536
6078396,8192,65536
6014594,8192,65536
6011796,8192,65536
6119980,8192,65536
6058490,8192,65536
6105298,8192,65536
6159210,8192,65536
6149180,8192,65536
6054512,8192,65536
6143708,8192,65536
6176410,8192,65536
6065970,8192,65536
5965572,8192,65536
6164414,8192,65536
6071840,8192,65536
5996666,8192,65536
6210630,8192,65536
6156782,8192,65536
6005692,8192,65536
6031172,8192,65536
6156960,8192,65536
5983014,8192,65536
6064774,8192,65536
6146148,8192,65536
6118118,8192,65536
6076532,8192,65536
6061216,8192,65536
6169192,8192,65536
6056798,8192,65536
5981230,8192,65536
6055554,8192,65536
6072574,8192,65536
6035290,8192,65536
6129240,8192,65536
6062058,8192,65536
6008212,8192,65536
6056480,8192,65536
6137904,8192,65536
5994112,8192,65536
6089316,8192,65536
6119830,8192,65536
6022568,8192,65536
5995872,8192,65536
6160624,8192,65536
6131868,8192,65536
6089320,8192,65536
6041346,8192,65536
6070144,8192,65536
5985120,8192,65536
6001098,8192,65536
6141510,8192,65536
6176260,8192,65536
5967554,8192,65536
6134404,8192,65536
6131160,8192,65536
6008674,8192,65536
6042854,8192,65536
6191478,8192,65536
6039212,8192,65536
5972700,8192,65536
6148534,8192,65536
6049436,8192,65536
6084234,8192,65536
6157496,8192,65536
6028448,8192,65536
6036828,8192,65536
6011686,8192,65536
6083826,8192,65536
6275430,8192,65536
6009700,8192,65536
6066886,8192,65536
6119590,8192,65536
6010664,8192,65536
6059856,8192,65536
6230596,8192,65536
5996516,8192,65536
6002768,8192,65536
6182934,8192,65536
6027922,8192,65536
6098874,8192,65536
