TIME SBOX,OWRITE SBOX,PAYLOAD B
545002,32,128
624018,32,128
588894,32,128
589166,32,128
626440,32,128
588050,32,128
582852,32,128
592746,32,128
584050,32,128
584252,32,128
537902,32,128
450472,32,128
516060,32,128
488228,32,128
447100,32,128
478346,32,128
584038,32,128
448950,32,128
446494,32,128
515250,32,128
450264,32,128
467046,32,128
450078,32,128
515390,32,128
479914,32,128
449722,32,128
480444,32,128
446308,32,128
448170,32,128
444564,32,128
479226,32,128
450796,32,128
446312,32,128
445692,32,128
447064,32,128
445402,32,128
447294,32,128
479418,32,128
479344,32,128
447646,32,128
448758,32,128
514094,32,128
516164,32,128
446746,32,128
467280,32,128
516108,32,128
518538,32,128
444426,32,128
447352,32,128
447168,32,128
514458,32,128
444854,32,128
446322,32,128
449892,32,128
548490,32,128
447610,32,128
448430,32,128
449012,32,128
446992,32,128
447594,32,128
480730,32,128
446990,32,128
446576,32,128
459264,32,128
482930,32,128
449310,32,128
482496,32,128
447718,32,128
481898,32,128
445090,32,128
446682,32,128
479704,32,128
481918,32,128
513150,32,128
446434,32,128
516626,32,128
480574,32,128
513254,32,128
447788,32,128
448024,32,128
481512,32,128
446448,32,128
445958,32,128
481806,32,128
580096,32,128
672080,32,128
512520,32,128
447440,32,128
446122,32,128
512938,32,128
479910,32,128
445358,32,128
446714,32,128
445436,32,128
448668,32,128
504040,32,128
481232,32,128
490498,32,128
450736,32,128
447748,32,128
449162,32,128
481206,32,128
449006,32,128
449968,32,128
491894,32,128
480798,32,128
485336,32,128
446326,32,128
446594,32,128
444276,32,128
480638,32,128
482412,32,128
477366,32,128
447044,32,128
514218,32,128
446316,32,128
543944,32,128
446906,32,128
515828,32,128
482742,32,128
445168,32,128
445536,32,128
446944,32,128
546150,32,128
445558,32,128
446214,32,128
479560,32,128
448242,32,128
447052,32,128
447686,32,128
448202,32,128
445774,32,128
448476,32,128
450018,32,128
446036,32,128
445246,32,128
446110,32,128
476568,32,128
448742,32,128
446826,32,128
447968,32,128
449190,32,128
446522,32,128
444566,32,128
447218,32,128
446300,32,128
451354,32,128
447204,32,128
487318,32,128
447270,32,128
481654,32,128
481994,32,128
446154,32,128
446998,32,128
484006,32,128
481108,32,128
479568,32,128
483376,32,128
512718,32,128
481596,32,128
445962,32,128
448864,32,128
447008,32,128
446824,32,128
445832,32,128
550074,32,128
449792,32,128
447980,32,128
598676,32,128
480834,32,128
444876,32,128
480694,32,128
446454,32,128
446208,32,128
547642,32,128
480008,32,128
445704,32,128
479086,32,128
446148,32,128
447580,32,128
445856,32,128
480172,32,128
445874,32,128
512566,32,128
447680,32,128
445636,32,128
513618,32,128
445334,32,128
518838,32,128
526974,32,128
516014,32,128
549134,32,128
446182,32,128
445792,32,128
513082,32,128
479978,32,128
446138,32,128
446646,32,128
447956,32,128
544154,32,128
481576,32,128
481560,32,128
445462,32,128
444846,32,128
445612,32,128
445594,32,128
446520,32,128
478312,32,128
480948,32,128
495500,32,128
513482,32,128
549752,32,128
448384,32,128
444326,32,128
480542,32,128
446374,32,128
448820,32,128
480482,32,128
446954,32,128
446480,32,128
448110,32,128
448108,32,128
446762,32,128
480580,32,128
448386,32,128
480964,32,128
447698,32,128
517838,32,128
512986,32,128
534758,32,128
490862,32,128
446488,32,128
447166,32,128
484678,32,128
447114,32,128
446044,32,128
446384,32,128
481466,32,128
446530,32,128
481532,32,128
588650,32,128
479266,32,128
481366,32,128
448304,32,128
481044,32,128
481478,32,128
446730,32,128
515426,32,128
446458,32,128
478686,32,128
446682,32,128
515776,32,128
446940,32,128
449390,32,128
445696,32,128
447458,32,128
483388,32,128
448102,32,128
447656,32,128
548586,32,128
515006,32,128
452330,32,128
480960,32,128
445228,32,128
444386,32,128
545642,32,128
480464,32,128
545362,32,128
447040,32,128
545596,32,128
496884,32,128
484730,32,128
448126,32,128
445072,32,128
581336,32,128
479478,32,128
449216,32,128
445590,32,128
479164,32,128
447578,32,128
513692,32,128
461150,32,128
446446,32,128
448142,32,128
547924,32,128
446278,32,128
446864,32,128
444116,32,128
446864,32,128
448570,32,128
449070,32,128
504176,32,128
525072,32,128
449550,32,128
515870,32,128
448322,32,128
448856,32,128
448684,32,128
449712,32,128
447616,32,128
484880,32,128
482314,32,128
482056,32,128
548344,32,128
449144,32,128
482424,32,128
448572,32,128
447690,32,128
483342,32,128
449656,32,128
449744,32,128
537680,32,128
450156,32,128
480924,32,128
448306,32,128
450922,32,128
517282,32,128
480040,32,128
448276,32,128
447730,32,128
450060,32,128
512720,32,128
452128,32,128
482078,32,128
482910,32,128
479852,32,128
448774,32,128
515136,32,128
483366,32,128
481620,32,128
481198,32,128
480456,32,128
487792,32,128
447046,32,128
448780,32,128
446852,32,128
447968,32,128
450022,32,128
482228,32,128
449240,32,128
447860,32,128
448420,32,128
469248,32,128
449558,32,128
447126,32,128
448394,32,128
514782,32,128
449458,32,128
449028,32,128
447428,32,128
447604,32,128
448650,32,128
517346,32,128
524306,32,128
515552,32,128
450342,32,128
446370,32,128
449676,32,128
448336,32,128
514262,32,128
450254,32,128
450476,32,128
513374,32,128
522404,32,128
482214,32,128
