TIME SBOX,OWRITE SBOX,PAYLOAD B
2173744,512,32768
1983606,512,32768
1855298,512,32768
1820090,512,32768
1802230,512,32768
1809192,512,32768
1933250,512,32768
1800708,512,32768
1670212,512,32768
1835456,512,32768
1987996,512,32768
1794080,512,32768
1679688,512,32768
1851858,512,32768
1679208,512,32768
1752588,512,32768
1811024,512,32768
1678452,512,32768
1935044,512,32768
1716018,512,32768
1748188,512,32768
1814320,512,32768
1835466,512,32768
1781096,512,32768
1713498,512,32768
1743862,512,32768
1867662,512,32768
1751108,512,32768
1715738,512,32768
1719010,512,32768
1857356,512,32768
1814372,512,32768
1707332,512,32768
1814602,512,32768
1707366,512,32768
1679784,512,32768
1742662,512,32768
1741520,512,32768
1814576,512,32768
1773236,512,32768
1686792,512,32768
1777908,512,32768
1775894,512,32768
1832270,512,32768
1747024,512,32768
1848412,512,32768
1715164,512,32768
2008820,512,32768
1848898,512,32768
1709592,512,32768
1745560,512,32768
1770022,512,32768
1784236,512,32768
1739996,512,32768
1781434,512,32768
1678600,512,32768
1847792,512,32768
1818160,512,32768
1750676,512,32768
1744216,512,32768
1777790,512,32768
1943920,512,32768
1812992,512,32768
1846850,512,32768
1696186,512,32768
1737732,512,32768
1743526,512,32768
1712076,512,32768
1701004,512,32768
1778612,512,32768
1812208,512,32768
1675260,512,32768
1859268,512,32768
1743970,512,32768
1828278,512,32768
1777014,512,32768
1679046,512,32768
1781772,512,32768
1677660,512,32768
1812466,512,32768
1712030,512,32768
1803302,512,32768
1711196,512,32768
1744398,512,32768
1709672,512,32768
1795206,512,32768
1746586,512,32768
1855596,512,32768
1803010,512,32768
1755486,512,32768
1670648,512,32768
1754510,512,32768
1697412,512,32768
1749136,512,32768
1699730,512,32768
1725946,512,32768
1656600,512,32768
1727886,512,32768
1879440,512,32768
1660166,512,32768
1660144,512,32768
1759780,512,32768
1722878,512,32768
1662686,512,32768
1723126,512,32768
1690924,512,32768
1800046,512,32768
1657260,512,32768
1746332,512,32768
1788938,512,32768
1834790,512,32768
1720036,512,32768
1792062,512,32768
1671114,512,32768
1694414,512,32768
1816156,512,32768
1826766,512,32768
1793746,512,32768
1860626,512,32768
1712128,512,32768
1657730,512,32768
1861638,512,32768
1734028,512,32768
1725694,512,32768
1674316,512,32768
1683514,512,32768
1671904,512,32768
1669016,512,32768
1875186,512,32768
1738080,512,32768
1779432,512,32768
1710834,512,32768
1929402,512,32768
1772762,512,32768
1739874,512,32768
1670588,512,32768
1681818,512,32768
1708920,512,32768
1741314,512,32768
1708824,512,32768
1875614,512,32768
1905106,512,32768
1840526,512,32768
1709956,512,32768
1773846,512,32768
1861962,512,32768
1741482,512,32768
1674434,512,32768
1680082,512,32768
1769220,512,32768
1808326,512,32768
1705514,512,32768
1677452,512,32768
1746094,512,32768
1680734,512,32768
1811944,512,32768
1843740,512,32768
1711906,512,32768
1747626,512,32768
1716558,512,32768
1696854,512,32768
1743738,512,32768
1739872,512,32768
1777130,512,32768
1777292,512,32768
1741450,512,32768
1823986,512,32768
1744110,512,32768
1680450,512,32768
1704954,512,32768
1740624,512,32768
1851570,512,32768
1674222,512,32768
1676622,512,32768
1790144,512,32768
1968198,512,32768
1675536,512,32768
1829384,512,32768
1844938,512,32768
1820274,512,32768
1709286,512,32768
1680580,512,32768
1741056,512,32768
1819438,512,32768
1811528,512,32768
1675262,512,32768
1707534,512,32768
1668958,512,32768
1716090,512,32768
1739866,512,32768
1673500,512,32768
1742172,512,32768
1796028,512,32768
1738236,512,32768
1782320,512,32768
1741030,512,32768
1801354,512,32768
1709844,512,32768
1813740,512,32768
1673912,512,32768
1821908,512,32768
1669976,512,32768
1807790,512,32768
1733950,512,32768
1732682,512,32768
1880524,512,32768
1709470,512,32768
1812786,512,32768
1845598,512,32768
1853632,512,32768
1774878,512,32768
1878784,512,32768
1809866,512,32768
1789500,512,32768
1708280,512,32768
1802936,512,32768
1671990,512,32768
1877690,512,32768
1741562,512,32768
1809598,512,32768
1739676,512,32768
1769286,512,32768
1776186,512,32768
1739504,512,32768
1808310,512,32768
1776230,512,32768
1878762,512,32768
1904836,512,32768
1784498,512,32768
1771188,512,32768
1754810,512,32768
1877902,512,32768
1778784,512,32768
1675604,512,32768
1834476,512,32768
1742382,512,32768
1678806,512,32768
1739576,512,32768
1741358,512,32768
1749820,512,32768
1780610,512,32768
1743154,512,32768
1814816,512,32768
1816128,512,32768
1680692,512,32768
1914116,512,32768
1738034,512,32768
1852386,512,32768
1745790,512,32768
1672818,512,32768
1709378,512,32768
1900348,512,32768
1673052,512,32768
1673896,512,32768
1807526,512,32768
1671930,512,32768
1740746,512,32768
1771680,512,32768
1771672,512,32768
1673970,512,32768
1750270,512,32768
1706724,512,32768
1717872,512,32768
1674392,512,32768
1767932,512,32768
1675296,512,32768
1710194,512,32768
1709626,512,32768
1750420,512,32768
1808514,512,32768
1848474,512,32768
1742270,512,32768
1772884,512,32768
1747562,512,32768
1773902,512,32768
1714394,512,32768
1842836,512,32768
1851252,512,32768
1673314,512,32768
1788542,512,32768
1808134,512,32768
1752158,512,32768
1777434,512,32768
1843758,512,32768
1776594,512,32768
1826318,512,32768
1672694,512,32768
1803198,512,32768
1670384,512,32768
1808684,512,32768
1770908,512,32768
1837026,512,32768
1676096,512,32768
1909924,512,32768
1677614,512,32768
1737816,512,32768
1723740,512,32768
1736602,512,32768
1839668,512,32768
1746204,512,32768
1741504,512,32768
1824726,512,32768
1866848,512,32768
1844702,512,32768
1776244,512,32768
1737786,512,32768
1769442,512,32768
1675562,512,32768
1776616,512,32768
1879454,512,32768
1707758,512,32768
1778142,512,32768
1672848,512,32768
1688832,512,32768
1678516,512,32768
1794618,512,32768
1673780,512,32768
1747664,512,32768
1776978,512,32768
1736000,512,32768
1672028,512,32768
1670334,512,32768
1705028,512,32768
1745742,512,32768
1710334,512,32768
1743784,512,32768
1742852,512,32768
1714244,512,32768
1820480,512,32768
1677080,512,32768
1702878,512,32768
1800886,512,32768
1779144,512,32768
1814448,512,32768
1675776,512,32768
1845728,512,32768
1843230,512,32768
1842846,512,32768
1675398,512,32768
1670396,512,32768
1700316,512,32768
1755092,512,32768
1811688,512,32768
1708910,512,32768
1745420,512,32768
1733950,512,32768
1739952,512,32768
1775038,512,32768
1721150,512,32768
1799428,512,32768
1810428,512,32768
1911586,512,32768
1913308,512,32768
1824600,512,32768
1673820,512,32768
1778818,512,32768
1772628,512,32768
1671650,512,32768
1847270,512,32768
1772824,512,32768
1707300,512,32768
1709112,512,32768
1852978,512,32768
1776548,512,32768
1742764,512,32768
1750728,512,32768
1897512,512,32768
1674450,512,32768
1674090,512,32768
1672788,512,32768
1729300,512,32768
1674344,512,32768
1738326,512,32768
1779712,512,32768
1705826,512,32768
1743454,512,32768
1675996,512,32768
1775018,512,32768
1803318,512,32768
1760170,512,32768
1738160,512,32768
1723092,512,32768
1824410,512,32768
1859524,512,32768
1711058,512,32768
1807472,512,32768
1670396,512,32768
1887870,512,32768
1818956,512,32768
1751084,512,32768
1743138,512,32768
1693404,512,32768
1781282,512,32768
1678076,512,32768
1745216,512,32768
1779906,512,32768
1923896,512,32768
1744204,512,32768
1779444,512,32768
1777042,512,32768
1789282,512,32768
1783470,512,32768
1718618,512,32768
1652364,512,32768
1911524,512,32768
1647914,512,32768
1785174,512,32768
1793614,512,32768
1646190,512,32768
1677560,512,32768
1773130,512,32768
1908890,512,32768
1708006,512,32768
1925128,512,32768
1726170,512,32768
1693772,512,32768
1688782,512,32768
1750306,512,32768
1724480,512,32768
1900556,512,32768
1674658,512,32768
1778522,512,32768
1833206,512,32768
1699776,512,32768
1665014,512,32768
1661472,512,32768
1698392,512,32768
1762058,512,32768
1723200,512,32768
1754456,512,32768
1844786,512,32768
1691654,512,32768
1693874,512,32768
1705528,512,32768
1915096,512,32768
1726084,512,32768
1660558,512,32768
1655670,512,32768
1793772,512,32768
1770124,512,32768
1770136,512,32768
1668786,512,32768
1666142,512,32768
1850294,512,32768
1667376,512,32768
1735704,512,32768
1667984,512,32768
1717124,512,32768
1669018,512,32768
1735794,512,32768
1879278,512,32768
1704018,512,32768
1813124,512,32768
1699946,512,32768
1673856,512,32768
1707014,512,32768
1711618,512,32768
1768512,512,32768
1698474,512,32768
1900846,512,32768
1695672,512,32768
1836124,512,32768
1699790,512,32768
1867952,512,32768
1767594,512,32768
1667000,512,32768
1665694,512,32768
1732742,512,32768
1754936,512,32768
1706854,512,32768
1668068,512,32768
1807306,512,32768
1736350,512,32768
1808368,512,32768
1740166,512,32768
1704140,512,32768
1668972,512,32768
1764902,512,32768
1731486,512,32768
1664792,512,32768
1764420,512,32768
1728056,512,32768
1699694,512,32768
1810636,512,32768
1736456,512,32768
1681316,512,32768
1706632,512,32768
1698080,512,32768
1662852,512,32768
1728358,512,32768
1705490,512,32768
1673858,512,32768
1776930,512,32768
1836628,512,32768
1789812,512,32768
1668846,512,32768
1694646,512,32768
1731636,512,32768
1796606,512,32768
1736278,512,32768
1698024,512,32768
1699592,512,32768
1843256,512,32768
1958576,512,32768
1793788,512,32768
1729542,512,32768
1659912,512,32768
1794388,512,32768
1664082,512,32768
1797592,512,32768
1794856,512,32768
1758762,512,32768
1786264,512,32768
1725544,512,32768
1721936,512,32768
1670122,512,32768
1782386,512,32768
1740170,512,32768
1743588,512,32768
1707586,512,32768
1856066,512,32768
1669140,512,32768
1704654,512,32768
1736208,512,32768
1702588,512,32768
1673748,512,32768
1744030,512,32768
1809588,512,32768
1741458,512,32768
1894226,512,32768
1665078,512,32768
1733444,512,32768
1801432,512,32768
1909630,512,32768
1672366,512,32768
1671196,512,32768
