TIME SBOX,OWRITE SBOX,PAYLOAD B
605114,16,32
486748,16,32
472842,16,32
446946,16,32
446248,16,32
443510,16,32
443206,16,32
444652,16,32
443900,16,32
445126,16,32
443786,16,32
446142,16,32
442760,16,32
445938,16,32
445326,16,32
481130,16,32
513904,16,32
513392,16,32
445538,16,32
446870,16,32
447520,16,32
445284,16,32
443810,16,32
471272,16,32
446110,16,32
448302,16,32
446826,16,32
480108,16,32
478586,16,32
445222,16,32
477492,16,32
479734,16,32
476966,16,32
527174,16,32
540782,16,32
439516,16,32
440766,16,32
441512,16,32
442054,16,32
445604,16,32
440672,16,32
477918,16,32
442244,16,32
509206,16,32
446496,16,32
438054,16,32
441678,16,32
474686,16,32
509580,16,32
508456,16,32
442862,16,32
443372,16,32
476528,16,32
475788,16,32
504774,16,32
439414,16,32
439430,16,32
441128,16,32
440298,16,32
439212,16,32
439414,16,32
478142,16,32
440386,16,32
475064,16,32
444624,16,32
515736,16,32
442068,16,32
440984,16,32
509832,16,32
445464,16,32
475356,16,32
443142,16,32
473116,16,32
477016,16,32
442386,16,32
506148,16,32
512166,16,32
443012,16,32
474174,16,32
441142,16,32
442304,16,32
476318,16,32
436838,16,32
439474,16,32
440442,16,32
608060,16,32
476972,16,32
438772,16,32
439200,16,32
440362,16,32
440774,16,32
474814,16,32
449562,16,32
439544,16,32
438188,16,32
538464,16,32
441896,16,32
574828,16,32
440230,16,32
507198,16,32
473942,16,32
472712,16,32
507344,16,32
472792,16,32
471448,16,32
474006,16,32
545766,16,32
439432,16,32
440350,16,32
473500,16,32
473640,16,32
541104,16,32
473710,16,32
438448,16,32
439348,16,32
474748,16,32
449202,16,32
440486,16,32
474510,16,32
508840,16,32
474578,16,32
442982,16,32
509872,16,32
440310,16,32
440388,16,32
505558,16,32
548894,16,32
438580,16,32
473804,16,32
472718,16,32
505752,16,32
473144,16,32
439142,16,32
473370,16,32
571408,16,32
439082,16,32
439698,16,32
438052,16,32
441964,16,32
505064,16,32
441794,16,32
439070,16,32
440258,16,32
440342,16,32
440016,16,32
440256,16,32
440122,16,32
472606,16,32
442216,16,32
439930,16,32
441324,16,32
507324,16,32
442196,16,32
439804,16,32
475410,16,32
440304,16,32
441406,16,32
609660,16,32
432802,16,32
501192,16,32
431054,16,32
430022,16,32
465804,16,32
475036,16,32
501078,16,32
429604,16,32
499680,16,32
463762,16,32
545388,16,32
440362,16,32
470868,16,32
517714,16,32
533464,16,32
505914,16,32
437954,16,32
507512,16,32
438052,16,32
685122,16,32
436636,16,32
436512,16,32
505872,16,32
437102,16,32
572988,16,32
436506,16,32
435670,16,32
437296,16,32
437636,16,32
438242,16,32
439310,16,32
509048,16,32
438632,16,32
436508,16,32
435858,16,32
438754,16,32
438796,16,32
472284,16,32
438818,16,32
438332,16,32
695030,16,32
436470,16,32
439818,16,32
436944,16,32
471434,16,32
436146,16,32
485028,16,32
437696,16,32
437868,16,32
437452,16,32
505538,16,32
436016,16,32
437072,16,32
437460,16,32
472496,16,32
470796,16,32
440600,16,32
437610,16,32
441388,16,32
437364,16,32
439818,16,32
554228,16,32
487506,16,32
519932,16,32
470932,16,32
504720,16,32
470466,16,32
472362,16,32
504528,16,32
539454,16,32
437776,16,32
471516,16,32
440730,16,32
436640,16,32
506284,16,32
436486,16,32
435800,16,32
506882,16,32
437186,16,32
436424,16,32
474094,16,32
438578,16,32
476184,16,32
472264,16,32
438880,16,32
437754,16,32
435734,16,32
439184,16,32
485452,16,32
473714,16,32
505314,16,32
471358,16,32
536620,16,32
471812,16,32
472438,16,32
473560,16,32
440186,16,32
437284,16,32
435484,16,32
471504,16,32
440424,16,32
474056,16,32
616274,16,32
436422,16,32
437792,16,32
437084,16,32
504606,16,32
506394,16,32
439266,16,32
573418,16,32
439886,16,32
441258,16,32
460652,16,32
440724,16,32
437038,16,32
473106,16,32
437772,16,32
472850,16,32
438934,16,32
437646,16,32
441486,16,32
436830,16,32
439500,16,32
536158,16,32
439178,16,32
473992,16,32
471328,16,32
536550,16,32
503074,16,32
515270,16,32
437268,16,32
439248,16,32
440504,16,32
622278,16,32
437722,16,32
438084,16,32
438938,16,32
438136,16,32
435990,16,32
437796,16,32
504436,16,32
470880,16,32
502940,16,32
439576,16,32
472364,16,32
438610,16,32
471826,16,32
436648,16,32
438512,16,32
504400,16,32
472176,16,32
